Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
T0Y34,0.146,0.00493,522.4,0.942,0.625,24.3,49.4,10027,512,0.472,0.058,3.9,5.63,1.69
T0Y41,0.239,0.00155,169.8,0.881,0.537,10.3,15.5,9996,165,0.41,0.119,2.74,3.96,1.19
T0Y42,0.18,0.00288,238.4,0.924,0.615,17.4,28.8,9997,236,0.321,0.0763,3.36,4.85,1.46
T0Y43,0.201,0.00148,122.9,0.892,0.566,10.9,14.8,9991,116,0.35,0.108,2.69,3.88,1.17
T0Y44,0.144,0.00327,204.3,0.941,0.656,21.5,32.7,10009,204,0.21,0.0593,3.49,5.03,1.51
T0Y51,0.136,0.00392,261,0.948,0.66,25.2,39.2,10005,259,0.327,0.052,3.67,5.29,1.59
T0Y52,0.0776,0.0102,426.2,0.978,0.763,62.4,101.2,9956,424,0.259,0.0223,4.62,6.66,2.01
T0Y53,0.231,0.00333,216.2,0.922,0.653,18.8,33.2,9984,213,0.285,0.0776,3.5,5.05,1.52
T0Y54,0.104,0.00481,283.3,0.958,0.686,30.9,47.9,9966,281,0.301,0.0415,3.87,5.58,1.68
T0Y61,0.278,0.00126,89.1,0.869,0.573,9.24,12.6,9992,83,0.333,0.131,2.53,3.65,1.1
T0Y62,0.617,0.000342,40,0.556,0.334,2.56,3.43,10006,40,0,0.444,1.23,1.78,0.535
T0Y63,0.205,0.00104,68.5,0.858,0.558,8.01,10.4,10002,67,0.206,0.142,2.35,3.38,1.02
T0Y64,0.305,0.000739,97.5,0.799,0.554,5.73,7.39,10001,37,0.289,0.201,2,2.89,0.869
T1Y11,0.16,0.00232,167.2,0.925,0.617,16.2,23.1,9986,163,0.299,0.0749,3.14,4.53,1.36
T1Y12,0.264,0.00166,141.7,0.872,0.568,10.1,16.6,10000,140,0.234,0.128,2.81,4.05,1.22
T1Y13,0.19,0.00203,155.1,0.909,0.599,13.6,20.3,9987,152,0.294,0.0913,3.01,4.34,1.31
T1Y14,0.248,0.00181,161.2,0.892,0.571,11.7,18.1,9992,159,0.263,0.108,2.9,4.18,1.26
T1Y21,0.316,0.000835,105.8,0.793,0.458,5.77,8.35,9991,103,0.385,0.207,2.12,3.06,0.921
T1Y22,0.433,0.000898,134.3,0.759,0.45,5.31,8.97,9989,131,0.348,0.241,2.19,3.17,0.953
T1Y23,0.406,0.000588,127.9,0.686,0.366,3.72,5.87,9986,126,0.323,0.314,1.77,2.55,0.769
T1Y24,0.505,0.000947,211.8,0.71,0.421,4.62,9.46,9993,208,0.368,0.29,2.25,3.24,0.976
T1Y31,0.143,0.0054,409.6,0.952,0.665,29.3,53.9,9981,403,0.403,0.0483,3.99,5.75,1.73
T1Y32,0.177,0.00734,426.2,0.956,0.709,36.6,73.1,9959,425,0.275,0.0443,4.29,6.19,1.86
T1Y33,0.154,0.00608,363,0.954,0.696,32.3,60.4,9932,361,0.271,0.0458,4.1,5.92,1.78
T1Y34,0.186,0.00437,412.2,0.934,0.627,21.8,43.4,9952,408,0.369,0.0663,3.77,5.44,1.64
T1Y41,0.119,0.00332,214.5,0.945,0.656,22.5,33.1,9979,208,0.364,0.0551,3.5,5.05,1.52
T1Y42,0.31,0.00198,231.1,0.867,0.55,10.5,19.8,9978,228,0.328,0.133,2.98,4.31,1.3
T1Y43,0.294,0.00163,181.5,0.873,0.542,10.2,16.2,9987,172,0.353,0.127,2.79,4.02,1.21
T1Y51,0.194,0.00407,308.8,0.939,0.648,23.1,40.8,10025,306,0.316,0.0613,3.71,5.35,1.61
T1Y52,0.0619,0.00909,244,0.98,0.82,62.8,90.7,9971,244,0,0.0205,4.51,6.5,1.96
T1Y53,0.128,0.00313,227.6,0.938,0.636,20.4,31.2,9961,224,0.347,0.0616,3.44,4.96,1.49
T1Y54,0.157,0.00468,341.7,0.952,0.661,28.3,46.8,9991,337,0.399,0.0484,3.85,5.55,1.67
T1Y62,0.656,0.000262,30.5,0.502,0.286,2.19,2.62,9994,29,0.233,0.498,0.962,1.39,0.418
T1Y63,0.261,0.000856,53.5,0.84,0.541,6.98,8.55,9996,53,0.204,0.16,2.15,3.1,0.932
ZD01,0.351,0.00155,174.9,0.833,0.531,8.29,15.5,10013,174,0.263,0.167,2.74,3.95,1.19
ZD02,0.234,0.00166,190.1,0.868,0.544,9.77,16.6,10020,175,0.375,0.132,2.81,4.05,1.22
ZD03,0.212,0.00169,159.4,0.878,0.559,10.4,16.9,9995,158,0.233,0.122,2.83,4.08,1.23
ZD04,0.243,0.00168,201.5,0.863,0.538,9.55,16.8,10022,190,0.377,0.137,2.82,4.07,1.23
