"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"1W032",0.534,0.000583,86,0.67,0.405,3.74,5.83,9985,78,0.304,0.33,1.76,2.54,0.765,"T3",0.265,0.00156,169.9,0.871,0.54,9.73,15.5,9981,161,0.34,0.129,2.74,3.96,1.19
"1W042",0.408,0.00085,99.7,0.784,0.472,5.7,8.5,9997,93,0.351,0.216,2.14,3.09,0.929,"T3",0.355,0.00154,185.1,0.838,0.525,8.43,15.4,9984,182,0.328,0.162,2.73,3.94,1.19
"2C01",0.114,0.0038,186.6,0.952,0.703,26.1,37.9,9986,176,0.26,0.0483,3.64,5.24,1.58,"T3",0.0994,0.00648,354.3,0.966,0.712,39.5,64.6,9970,348,0.335,0.0339,4.17,6.01,1.81
"2C02",0.0638,0.0067,252,0.973,0.761,47,66.7,9960,249,0.256,0.0265,4.2,6.06,1.82,"T3",0.0537,0.0121,505.7,0.982,0.77,76.1,120.6,9929,503,0.292,0.0175,4.79,6.91,2.08
"2C03",0.0842,0.00562,243.6,0.97,0.736,40.6,56.1,9983,238,0.293,0.0302,4.03,5.81,1.75,"T3",0.0738,0.00984,466.5,0.978,0.747,61.7,98.1,9974,462,0.343,0.0218,4.59,6.62,1.99
"2C04",0.128,0.00463,227.5,0.96,0.709,32,46.2,9980,223,0.308,0.0396,3.83,5.53,1.66,"T3",0.122,0.00744,457.2,0.968,0.705,43.5,74.2,9979,452,0.4,0.0323,4.31,6.21,1.87
"2D012",0.0794,0.0072,315.3,0.971,0.744,46.2,71.8,9961,313,0.239,0.0286,4.27,6.17,1.86,"T3",0.073,0.0136,619.2,0.981,0.764,76.1,135.3,9939,617,0.317,0.0194,4.91,7.08,2.13
"2D022",0.183,0.00487,320.6,0.944,0.674,26.5,48.6,9994,317,0.33,0.0561,3.88,5.6,1.69,"T3",0.178,0.00826,574.9,0.955,0.695,37.8,82.6,10000,572,0.379,0.0446,4.41,6.37,1.92
"2D042",0.0655,0.00887,310.3,0.979,0.782,61.4,88.5,9982,309,0.206,0.0208,4.48,6.47,1.95,"T3",0.0644,0.0148,547.1,0.985,0.792,90.8,147.2,9946,546,0.239,0.0155,4.99,7.2,2.17
"2G012",0.0906,0.00715,361.4,0.969,0.726,44.1,71.5,10003,358,0.312,0.0308,4.27,6.16,1.85,"T3",0.0785,0.0131,642.2,0.979,0.756,72.6,131.8,10056,637,0.359,0.0207,4.88,7.04,2.12
"2G022",0.073,0.00916,360.1,0.978,0.768,60.3,91.5,9989,359,0.228,0.0219,4.52,6.52,1.96,"T3",0.0668,0.0175,690.1,0.986,0.79,102.4,174.6,9950,687,0.318,0.0143,5.16,7.45,2.24
"2G031",0.0785,0.00941,367.6,0.979,0.769,62.4,93.3,9923,365,0.279,0.0212,4.54,6.54,1.97,"T3",0.0494,0.0188,691,0.988,0.799,114,185.6,9878,689,0.299,0.0125,5.22,7.54,2.27
"2G042",0.193,0.00394,222,0.939,0.682,23.3,39.3,9974,218,0.205,0.0608,3.67,5.3,1.59,"T3",0.183,0.0066,405.9,0.952,0.697,33.1,65.7,9956,404,0.267,0.0484,4.19,6.04,1.82
"2P012",0.0501,0.00844,299.2,0.981,0.78,62.7,84.5,10018,296,0.279,0.0193,4.44,6.4,1.93,"T3",0.05,0.0139,577.6,0.987,0.778,95,139.9,10074,573,0.382,0.0134,4.94,7.13,2.15
"2P022",0.116,0.00555,256.1,0.963,0.727,36.1,55.4,9982,251,0.278,0.0368,4.01,5.79,1.74,"T3",0.115,0.00851,445.9,0.966,0.728,45.1,84.5,9933,444,0.292,0.0336,4.44,6.4,1.93
"2P032",0.0958,0.00679,264.6,0.972,0.757,46.9,67.7,9978,262,0.236,0.0275,4.22,6.08,1.83,"T3",0.0949,0.0104,472.6,0.977,0.753,61,103.1,9960,471,0.273,0.0234,4.64,6.69,2.01
"2P042",0.15,0.00422,288.5,0.944,0.662,24.6,42.2,9995,285,0.315,0.0557,3.74,5.4,1.63,"T3",0.146,0.00729,519.4,0.955,0.686,34.6,72.8,9987,517,0.34,0.0452,4.29,6.19,1.86
"2S012",0.0986,0.00701,326.2,0.969,0.741,44.1,70.3,10028,312,0.307,0.031,4.25,6.14,1.85,"T3",0.0947,0.013,558.9,0.981,0.773,77.1,130.6,10055,547,0.365,0.0193,4.87,7.03,2.12
"2S022",0.0446,0.0105,376.9,0.984,0.787,76,105.2,10003,372,0.303,0.0162,4.66,6.72,2.02,"T3",0.0415,0.0196,703.6,0.99,0.805,128.8,195.7,9983,700,0.355,0.0103,5.28,7.61,2.29
"2S032",0.041,0.0117,412.9,0.985,0.791,81.7,116.5,9948,410,0.263,0.0154,4.76,6.86,2.07,"T3",0.0387,0.0193,712.3,0.988,0.8,118,191.5,9911,711,0.272,0.0116,5.25,7.58,2.28
"2S042",0.102,0.00581,304.2,0.966,0.711,37.5,58,9974,302,0.261,0.0344,4.06,5.86,1.76,"T3",0.0968,0.00988,543.7,0.973,0.729,53.9,98,9924,541,0.328,0.0269,4.59,6.62,1.99
"2W012",0.127,0.00746,362.3,0.968,0.734,45,74.3,9961,354,0.344,0.0318,4.31,6.22,1.87,"T3",0.12,0.0129,643,0.975,0.752,65.6,128.3,9929,639,0.353,0.0248,4.85,7,2.11
"2W022",0.097,0.00581,247.5,0.97,0.739,41.1,58,9975,243,0.283,0.0303,4.06,5.86,1.76,"T3",0.0686,0.0112,501.6,0.981,0.759,69.3,111.1,9928,497,0.335,0.0195,4.71,6.8,2.05
"2W032",0.111,0.00677,305.8,0.968,0.737,42.2,67.8,10013,304,0.207,0.0323,4.22,6.08,1.83,"T3",0.107,0.011,533.7,0.975,0.75,60.9,110.7,10050,532,0.261,0.0246,4.71,6.79,2.04
"2W042",0.234,0.0046,282.6,0.926,0.679,21.9,45.9,9968,280,0.253,0.0739,3.83,5.52,1.66,"T3",0.2,0.00776,494.8,0.944,0.701,31.8,77,9926,493,0.298,0.0558,4.34,6.27,1.89
"3C01",0.545,0.000902,137.3,0.689,0.45,4.46,9.02,9990,133,0.261,0.311,2.2,3.17,0.955,"T3",0.381,0.00221,239.2,0.839,0.565,9.73,22,9967,237,0.303,0.161,3.09,4.46,1.34
"3C02",0.599,0.000842,169,0.633,0.419,3.77,8.4,9975,161,0.321,0.367,2.13,3.07,0.924,"T3",0.503,0.00178,293.7,0.74,0.508,6.1,17.7,9957,288,0.349,0.26,2.88,4.15,1.25
"3C03",0.292,0.0024,172.4,0.892,0.621,13.5,24,9983,167,0.274,0.108,3.18,4.58,1.38,"T3",0.207,0.00576,335.1,0.944,0.698,29.2,57.4,9965,330,0.329,0.0558,4.05,5.84,1.76
"3D012",0.191,0.00346,236.9,0.927,0.65,19.5,34.6,9992,233,0.252,0.0725,3.54,5.11,1.54,"T3",0.185,0.00555,425,0.939,0.664,25.7,55.2,9953,420,0.344,0.0613,4.01,5.79,1.74
"3D021",0.126,0.00414,249.2,0.953,0.68,27,41.3,9974,238,0.297,0.0473,3.72,5.37,1.62,"T3",0.0754,0.00828,459.7,0.973,0.723,49.6,82.4,9952,447,0.371,0.0272,4.41,6.36,1.92
"3D032",0.17,0.00535,284.7,0.954,0.704,31.6,53.3,9968,283,0.261,0.0462,3.98,5.74,1.73,"T3",0.0985,0.0106,525.6,0.976,0.744,59.9,105.2,9918,522,0.335,0.0245,4.66,6.72,2.02
"3D042",0.0679,0.00535,231.3,0.97,0.731,39.8,53.4,9986,230,0.238,0.0296,3.98,5.74,1.73,"T3",0.0517,0.00908,424.2,0.979,0.745,60.7,90.6,9972,423,0.29,0.0206,4.51,6.5,1.96
"3G012",0.0733,0.00622,278.7,0.969,0.734,41.1,61.9,9952,277,0.227,0.031,4.13,5.95,1.79,"T3",0.0632,0.0122,536.2,0.981,0.764,72.6,121.2,9916,534,0.282,0.0192,4.8,6.92,2.08
"3G022",0.0866,0.00672,276,0.972,0.749,45.9,66.9,9967,274,0.225,0.0277,4.2,6.06,1.83,"T3",0.0541,0.0126,513.5,0.984,0.775,81.5,125.4,9932,511,0.301,0.0162,4.83,6.97,2.1
"3G032",0.0532,0.00748,291.7,0.978,0.766,54.5,74.7,9984,280,0.31,0.0221,4.31,6.22,1.87,"T3",0.0526,0.0138,557.5,0.985,0.78,89,137.4,9979,551,0.373,0.015,4.92,7.1,2.14
"3G042",0.134,0.00295,176.4,0.936,0.66,19.7,29.4,9986,168,0.266,0.0638,3.38,4.88,1.47,"T3",0.0954,0.00553,334.9,0.962,0.691,34.4,55.1,9960,331,0.31,0.0377,4.01,5.78,1.74
"3P012",0.16,0.00418,220.5,0.949,0.693,26.6,41.7,9977,218,0.256,0.0505,3.73,5.38,1.62,"T3",0.133,0.00807,407.4,0.968,0.73,46.4,80.3,9950,406,0.295,0.0322,4.39,6.33,1.9
"3P022",0.0903,0.00506,233,0.966,0.721,35.8,50.5,9984,230,0.299,0.0345,3.92,5.66,1.7,"T3",0.0463,0.0096,425.3,0.981,0.755,66.5,95.9,9984,422,0.345,0.0186,4.56,6.58,1.98
"3P032",0.138,0.00403,241.2,0.95,0.676,26.1,40.2,9984,237,0.315,0.05,3.69,5.33,1.6,"T3",0.0874,0.0085,452.9,0.975,0.727,53.2,84.7,9969,448,0.39,0.0253,4.44,6.4,1.93
"3P042",0.114,0.00481,242.5,0.962,0.706,32.9,48,9979,240,0.29,0.0384,3.87,5.58,1.68,"T3",0.0521,0.00963,456.3,0.981,0.747,65.5,96.1,9979,451,0.381,0.0191,4.56,6.59,1.98
"3S012",0.0946,0.00581,302.8,0.966,0.712,37.7,58.1,9993,301,0.298,0.0344,4.06,5.86,1.76,"T3",0.0774,0.0109,548.9,0.979,0.744,65.9,109,10001,546,0.367,0.0209,4.69,6.77,2.04
"3S022",0.106,0.00563,253.2,0.963,0.729,36.2,56,9950,251,0.226,0.0368,4.03,5.81,1.75,"T3",0.0607,0.0108,433,0.982,0.77,71,106.8,9916,431,0.275,0.0183,4.67,6.74,2.03
"3S032",0.0908,0.00555,258.4,0.967,0.725,37.7,55.4,9983,253,0.26,0.0334,4.01,5.79,1.74,"T3",0.0621,0.00949,428.1,0.978,0.752,60,94.5,9954,425,0.279,0.022,4.55,6.56,1.98
"3S042",0.105,0.00489,280.7,0.961,0.693,32.8,49,10017,275,0.33,0.0386,3.89,5.62,1.69,"T3",0.0614,0.00895,441.5,0.977,0.737,56.9,88.6,9903,439,0.318,0.0228,4.48,6.47,1.95
"3W012",0.121,0.00535,295.4,0.956,0.701,31.4,53.5,9990,293,0.276,0.0444,3.98,5.74,1.73,"T3",0.118,0.0097,528.3,0.969,0.729,49.6,96.7,9965,527,0.299,0.0313,4.57,6.59,1.99
"3W022",0.183,0.00403,237.1,0.939,0.677,23.3,40.2,9979,234,0.243,0.0607,3.69,5.33,1.6,"T3",0.0778,0.00921,473,0.975,0.734,54.3,91.5,9940,471,0.314,0.0254,4.52,6.52,1.96
"3W032",0.134,0.00408,258.8,0.948,0.671,25.3,40.7,9982,251,0.329,0.0524,3.71,5.35,1.61,"T3",0.102,0.008,468.2,0.968,0.713,44.6,79.8,9976,466,0.323,0.0321,4.38,6.32,1.9
"3W042",0.337,0.00232,180.8,0.867,0.606,11.5,23.2,9966,179,0.222,0.133,3.14,4.53,1.36,"T3",0.186,0.00501,343.2,0.943,0.67,26.3,49.7,9933,341,0.295,0.0567,3.91,5.64,1.7
"4C02",0.102,0.00375,138.7,0.956,0.738,27.4,37.5,10013,136,0.153,0.0443,3.63,5.23,1.57,"T3",0.0772,0.00607,249.1,0.971,0.745,42.9,60.9,10027,248,0.205,0.0288,4.11,5.93,1.78
"4C03",0.292,0.000814,73.1,0.808,0.493,5.98,8.14,9992,70,0.282,0.192,2.1,3.02,0.911,"T3",0.288,0.00115,122.7,0.845,0.509,7.73,11.4,9984,120,0.289,0.155,2.44,3.52,1.06
"4D012",0.091,0.00298,121.1,0.953,0.714,23.9,29.8,10008,116,0.299,0.0475,3.39,4.9,1.47,"T3",0.0881,0.00453,202.8,0.965,0.723,33.9,45.3,10014,195,0.362,0.0354,3.81,5.5,1.66
"4D022",0.15,0.0024,111.5,0.932,0.68,17.7,24,9989,107,0.25,0.0678,3.18,4.58,1.38,"T3",0.122,0.00341,196.1,0.947,0.67,23.5,34.1,9986,194,0.272,0.0525,3.53,5.09,1.53
"4D032",0.0921,0.00339,132.2,0.958,0.726,27.3,33.9,9987,128,0.248,0.0417,3.52,5.08,1.53,"T3",0.0894,0.00511,237.4,0.967,0.72,36.8,51,9981,236,0.278,0.0331,3.93,5.67,1.71
"4D042",0.172,0.00179,106.3,0.913,0.622,13.3,17.9,10005,103,0.221,0.0874,2.88,4.16,1.25,"T3",0.168,0.00238,188.4,0.921,0.608,15.7,23.9,10012,185,0.323,0.0788,3.17,4.58,1.38
"4G012",0.109,0.00381,201.8,0.951,0.686,25.8,38,9980,200,0.239,0.0486,3.64,5.25,1.58,"T3",0.11,0.00745,431.3,0.966,0.71,41.4,74.3,9971,430,0.281,0.0343,4.31,6.21,1.87
"4G022",0.178,0.00219,140.6,0.916,0.631,14.9,21.9,10013,133,0.291,0.0839,3.09,4.45,1.34,"T3",0.168,0.00379,271.4,0.939,0.651,22.1,38,10026,267,0.299,0.0611,3.64,5.25,1.58
"4G032",0.125,0.00365,191.6,0.945,0.685,23.3,36.4,9982,190,0.188,0.0553,3.59,5.19,1.56,"T3",0.0935,0.00709,375.1,0.966,0.719,41.1,70.6,9947,373,0.254,0.0336,4.26,6.14,1.85
"4G042",0.247,0.00175,135.1,0.885,0.585,11.1,17.6,10015,134,0.23,0.115,2.87,4.13,1.24,"T3",0.257,0.0025,282,0.895,0.583,13.4,25,9983,250,0.414,0.105,3.22,4.64,1.4
"4P012",0.205,0.00321,136,0.929,0.706,19.5,32,9986,136,0,0.0712,3.47,5,1.51,"T3",0.117,0.0055,244,0.959,0.729,33.5,54.9,9983,244,0,0.041,4.01,5.78,1.74
"4P022",0.219,0.00218,146.8,0.91,0.62,14.3,21.8,9981,144,0.276,0.0899,3.08,4.44,1.34,"T3",0.139,0.00391,273.1,0.946,0.654,24.4,39,9969,270,0.328,0.0535,3.66,5.29,1.59
"4P032",0.13,0.00393,183.2,0.951,0.705,26.1,39.2,9980,182,0.197,0.0494,3.67,5.29,1.59,"T3",0.0676,0.00734,320.1,0.974,0.744,49.1,73,9955,319,0.231,0.026,4.29,6.19,1.86
"4P042",0.188,0.00273,195.3,0.928,0.651,18.1,27.4,10013,161,0.358,0.0717,3.31,4.77,1.44,"T3",0.136,0.00411,330.7,0.95,0.656,26.2,41.2,10028,289,0.472,0.0498,3.72,5.37,1.62
"4S012",0.17,0.00264,146.4,0.925,0.658,17.2,26.4,10013,145,0.26,0.0751,3.28,4.73,1.42,"T3",0.146,0.00352,261.1,0.933,0.641,20.2,35.3,10033,260,0.291,0.0667,3.56,5.14,1.55
"4S022",0.201,0.00201,159.6,0.896,0.593,12.3,20.1,9972,157,0.247,0.104,3,4.33,1.3,"T3",0.183,0.0033,306.2,0.923,0.611,17.9,32.8,9946,304,0.308,0.0767,3.49,5.04,1.52
"4S032",0.119,0.00376,190.8,0.949,0.692,25,37.6,9996,188,0.238,0.0505,3.63,5.23,1.57,"T3",0.116,0.00558,331.4,0.959,0.693,32.7,55.7,9977,330,0.269,0.0414,4.02,5.8,1.75
"4S042",0.203,0.00265,132,0.925,0.672,17.4,26.6,10008,132,0,0.075,3.28,4.73,1.42,"T3",0.191,0.00387,225,0.938,0.675,22.4,38.8,10021,225,0,0.0624,3.66,5.28,1.59
"4W012",0.115,0.00355,197,0.946,0.677,23.7,35.5,9999,196,0.249,0.0539,3.57,5.15,1.55,"T3",0.114,0.00692,385.1,0.966,0.713,40.8,68.9,9955,377,0.352,0.0342,4.23,6.11,1.84
"4W022",0.307,0.00121,115.2,0.839,0.53,7.84,12.1,9986,111,0.286,0.161,2.49,3.6,1.08,"T3",0.301,0.00179,236.1,0.867,0.53,10.2,17.8,9965,231,0.401,0.133,2.88,4.16,1.25
"4W031",0.314,0.0011,103.1,0.813,0.52,6.78,11,9986,100,0.248,0.187,2.39,3.45,1.04,"T3",0.309,0.00178,191.1,0.86,0.549,9.72,17.8,9966,190,0.267,0.14,2.88,4.15,1.25
"4W042",0.187,0.00182,108,0.907,0.622,13.1,18.2,9989,106,0.243,0.093,2.9,4.19,1.26,"T3",0.18,0.00251,197.5,0.917,0.612,15.6,25,9973,193,0.294,0.0829,3.22,4.65,1.4
"5C01",0.834,0.000195,27.8,0.291,0.203,1.54,1.95,9994,27,0.179,0.709,0.668,0.964,0.29,"T3",0.815,0.000221,49.1,0.321,0.207,1.64,2.21,9986,46,0.319,0.679,0.791,1.14,0.344
"5C02",0.858,0.00022,164.5,0.262,0.2,1.52,2.2,9990,52,0.283,0.738,0.789,1.14,0.343,"T3",0.48,0.000653,106.1,0.699,0.406,4.06,6.52,9990,101,0.314,0.301,1.87,2.7,0.814
"5C03",0.51,0.000465,34,0.674,0.439,3.56,4.65,9991,33,0.294,0.326,1.54,2.22,0.667,"T3",0.506,0.000526,53.9,0.684,0.418,3.76,5.25,9983,53,0.222,0.316,1.66,2.39,0.72
"5C04",0.934,0.00015,60.5,0.126,0.114,1.21,1.5,9995,36,0.378,0.874,0.407,0.588,0.177,"T3",0.92,0.000169,59,0.153,0.132,1.27,1.68,9984,51,0.308,0.847,0.52,0.751,0.226
"5D012",0.319,0.00161,121,0.863,0.58,9.9,16.1,9995,120,0.289,0.137,2.78,4.01,1.21,"T3",0.164,0.00247,208.1,0.92,0.604,16,24.7,9995,203,0.392,0.0796,3.21,4.63,1.39
"5D022",0.785,0.00029,60,0.377,0.262,1.88,2.89,9993,58,0.237,0.623,1.06,1.53,0.462,"T3",0.731,0.00041,111.3,0.459,0.302,2.28,4.1,9987,107,0.324,0.541,1.41,2.03,0.612
"5D032",0.34,0.00113,129.9,0.82,0.504,7.01,11.3,9986,123,0.331,0.18,2.43,3.5,1.05,"T3",0.315,0.00213,217,0.874,0.569,11.3,21.2,9971,214,0.321,0.126,3.05,4.41,1.33
"5D042",0.615,0.000567,92.2,0.604,0.386,3.24,5.67,10008,90,0.231,0.396,1.74,2.5,0.754,"T3",0.59,0.000701,145.9,0.634,0.393,3.62,7.02,10013,143,0.319,0.366,1.95,2.81,0.846
"5G012",0.366,0.00132,108.7,0.833,0.552,8.03,13.2,9987,108,0.202,0.167,2.58,3.73,1.12,"T3",0.216,0.00235,184.2,0.908,0.605,14.3,23.4,9970,183,0.261,0.092,3.15,4.55,1.37
"5G022",0.209,0.00326,200.3,0.93,0.658,19.7,32.5,9987,199,0.26,0.0703,3.48,5.02,1.51,"T3",0.124,0.00671,376.1,0.965,0.71,39.8,66.9,9976,373,0.334,0.0353,4.2,6.06,1.83
"5G032",0.392,0.0014,123,0.82,0.551,7.78,14,9992,120,0.223,0.18,2.64,3.81,1.15,"T3",0.214,0.00271,245.7,0.909,0.6,15.1,26.9,9959,243,0.311,0.0915,3.29,4.75,1.43
"5G042",0.729,0.00036,77.1,0.459,0.298,2.23,3.6,9989,73,0.27,0.541,1.28,1.85,0.556,"T3",0.686,0.00052,119.6,0.523,0.345,2.69,5.18,9976,118,0.286,0.477,1.65,2.37,0.715
"5P012",0.6,0.000625,75,0.623,0.426,3.47,6.25,9993,74,0.173,0.377,1.83,2.64,0.796,"T3",0.584,0.00078,123.9,0.645,0.428,3.84,7.79,9986,121,0.295,0.355,2.05,2.96,0.892
"5P022",0.276,0.00191,113.5,0.891,0.626,12.3,19.1,9986,111,0.259,0.109,2.95,4.25,1.28,"T3",0.271,0.00266,186.3,0.901,0.629,14.7,26.5,9962,184,0.254,0.0989,3.28,4.73,1.42
"5P032",0.264,0.00205,149.8,0.894,0.606,12.6,20.5,10001,146,0.245,0.106,3.02,4.36,1.31,"T3",0.12,0.00414,286.2,0.951,0.66,26.2,41.5,10016,284,0.347,0.0494,3.73,5.37,1.62
"5P042",0.161,0.00195,131.8,0.91,0.613,13.4,19.5,9985,127,0.242,0.0897,2.97,4.29,1.29,"T3",0.121,0.00356,224.2,0.944,0.661,22.9,35.5,9959,221,0.306,0.0557,3.57,5.15,1.55
"5S012",0.175,0.00306,183.7,0.935,0.657,20,30.6,9997,183,0.201,0.0645,3.42,4.93,1.49,"T3",0.0998,0.00571,315.1,0.963,0.704,36.2,56.9,9962,310,0.328,0.0367,4.04,5.83,1.75
"5S022",0.103,0.00419,206.4,0.958,0.703,29.5,41.8,9976,203,0.255,0.042,3.73,5.39,1.62,"T3",0.0906,0.00738,356.1,0.974,0.733,49.2,73.5,9961,352,0.309,0.0261,4.3,6.2,1.87
"5S032",0.259,0.00177,139.7,0.88,0.589,11,17.7,9994,131,0.348,0.12,2.87,4.14,1.25,"T3",0.246,0.00281,220.4,0.911,0.62,16,28.1,9997,217,0.335,0.0885,3.34,4.81,1.45
"5S042",0.452,0.00107,137.1,0.76,0.482,5.66,10.7,9984,135,0.301,0.24,2.37,3.41,1.03,"T3",0.381,0.00191,240,0.825,0.539,8.52,19,9970,236,0.346,0.175,2.95,4.25,1.28
"5W012",0.53,0.000703,95.9,0.694,0.439,4.26,7.03,9997,85,0.326,0.306,1.95,2.81,0.847,"T3",0.389,0.00133,143.6,0.821,0.528,7.7,13.3,9982,135,0.397,0.179,2.59,3.74,1.12
"5W021",0.553,0.000793,99.4,0.679,0.452,4.24,7.92,9983,97,0.245,0.321,2.07,2.99,0.899,"T3",0.401,0.0016,167.3,0.818,0.542,8.02,16,9973,166,0.24,0.182,2.77,4,1.2
"5W032",0.558,0.000594,82.4,0.645,0.404,3.52,5.94,9988,82,0.157,0.355,1.78,2.57,0.773,"T3",0.382,0.00105,168.8,0.788,0.459,5.96,10.5,9971,168,0.219,0.212,2.35,3.39,1.02
"5W042",0.765,0.000257,71.7,0.39,0.221,1.84,2.56,9984,70,0.338,0.61,0.941,1.36,0.409,"T3",0.724,0.000342,137.7,0.453,0.257,2.15,3.41,9976,119,0.458,0.547,1.23,1.77,0.533
"Mock",0.294,0.000676,25.1,0.819,0.618,5.99,6.75,9992,22,0.217,0.181,1.91,2.76,0.83,"T3",0.204,0.00128,70,0.887,0.701,10.2,12.8,9989,38,0.205,0.113,2.55,3.68,1.11
"NC1",0.2,0.00066,7,0.84,0.97,6.42,6.6,10000,7,0,0.16,1.89,2.72,0.819,"T3",0.2,0.00066,7,0.84,0.97,6.42,6.6,10000,7,0,0.16,1.89,2.72,0.819
"NC3",0.159,0.00206,61,0.921,0.736,15.3,20.6,9998,61,0,0.0788,3.03,4.37,1.31,"T3",0.157,0.00277,77,0.937,0.764,19.9,27.7,10001,77,0,0.0632,3.32,4.79,1.44
