"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"2W031",0.443,0.00149,217.7,0.784,0.504,6.8,15,10020,214,0.316,0.216,2.71,3.9,1.18,"T2",0.264,0.00471,501.8,0.911,0.619,18.4,46.7,9926,499,0.328,0.0891,3.84,5.55,1.67
"2W041",0.587,0.000501,79.4,0.614,0.369,3.16,5,9989,79,0.175,0.386,1.61,2.32,0.699,"T2",0.555,0.000791,209.2,0.66,0.387,3.85,7.89,9967,208,0.287,0.34,2.07,2.98,0.897
"3D011",0.355,0.000856,130.3,0.788,0.444,5.65,8.55,9991,126,0.394,0.212,2.15,3.1,0.932,"T2",0.182,0.00361,342.8,0.928,0.614,19.1,36,9949,341,0.325,0.0721,3.58,5.17,1.56
"3D02",0.675,0.000456,123.5,0.53,0.317,2.64,4.55,9988,119,0.375,0.47,1.52,2.19,0.658,"T2",0.455,0.00159,311.2,0.775,0.481,6.59,15.8,9939,309,0.355,0.225,2.76,3.98,1.2
"3D031",0.296,0.00159,188.5,0.853,0.535,9.07,15.9,9989,176,0.395,0.147,2.77,3.99,1.2,"T2",0.164,0.00664,517.2,0.942,0.671,28.2,66,9936,514,0.33,0.0578,4.19,6.04,1.82
"3D041",0.376,0.00134,149,0.824,0.521,7.7,13.4,9976,146,0.333,0.176,2.59,3.74,1.13,"T2",0.162,0.00472,441.4,0.933,0.633,21.8,47,9960,437,0.354,0.0671,3.85,5.55,1.67
"3G011",0.204,0.00224,223.6,0.91,0.577,14.1,22.4,9979,219,0.386,0.09,3.11,4.48,1.35,"T2",0.146,0.00989,613.9,0.965,0.715,45.9,98.2,9933,611,0.32,0.0354,4.59,6.62,1.99
"3G021",0.352,0.00203,221.3,0.854,0.558,10.1,20.2,9953,219,0.314,0.146,3.01,4.34,1.31,"T2",0.195,0.00837,646.6,0.948,0.684,33.3,83.1,9926,643,0.366,0.0523,4.42,6.38,1.92
"3G031",0.232,0.00263,214.1,0.915,0.617,16,26.3,9997,199,0.385,0.0849,3.27,4.71,1.42,"T2",0.0965,0.0069,518.4,0.965,0.68,38.8,69.3,10043,509,0.418,0.0351,4.24,6.11,1.84
"3G041",0.114,0.00341,171.1,0.949,0.689,24.1,34.1,9986,168,0.249,0.0512,3.53,5.09,1.53,"T2",0.0794,0.0075,463.6,0.97,0.704,45,74.7,9965,459,0.376,0.0297,4.31,6.22,1.87
