"","berger_parker","buzas_gibson","chao1","dominance","equitability","jost","jost1","reads","richness","robbins","simpson","shannon_e","shannon_2","shannon_10","Timepoint","zOTU_berger_parker","zOTU_buzas_gibson","zOTU_chao1","zOTU_dominance","zOTU_equitability","zOTU_jost","zOTU_jost1","zOTU_reads","zOTU_richness","zOTU_robbins","zOTU_simpson","zOTU_shannon_e","zOTU_shannon_2","zOTU_shannon_10"
"2G03",0.336,0.00075,80,0.793,0.472,5.57,7.49,9990,71,0.236,0.207,2.01,2.91,0.875,"T1",0.255,0.00119,98.9,0.853,0.547,8.33,11.8,9992,92,0.28,0.147,2.47,3.57,1.07
"2G04",0.175,0.00167,113.5,0.91,0.621,12.9,16.7,9993,93,0.34,0.0898,2.81,4.06,1.22,"T1",0.118,0.00231,123.1,0.94,0.672,18.7,23.1,9999,107,0.315,0.0604,3.14,4.53,1.36
"2P01",0.446,0.000935,108.9,0.769,0.479,5.67,9.34,9992,106,0.271,0.231,2.23,3.22,0.97,"T1",0.439,0.00108,135.9,0.78,0.49,6.15,10.8,9992,129,0.315,0.22,2.38,3.44,1.03
"2P02",0.366,0.000681,98.7,0.763,0.423,4.87,6.8,9988,93,0.394,0.237,1.92,2.77,0.833,"T1",0.363,0.000713,116.2,0.765,0.414,4.94,7.12,9988,114,0.365,0.235,1.96,2.83,0.853
"2P03",0.214,0.00169,76,0.9,0.653,12.1,16.9,9994,76,0,0.0999,2.83,4.08,1.23,"T1",0.214,0.0018,88,0.902,0.645,12.5,18,9994,88,0,0.0984,2.89,4.17,1.25
"2P04",0.416,0.000744,118.6,0.747,0.425,4.83,7.43,9993,112,0.451,0.253,2.01,2.89,0.871,"T1",0.412,0.00079,134.4,0.751,0.427,4.96,7.91,10002,127,0.422,0.249,2.07,2.98,0.898
"2S01",0.323,0.000884,96.2,0.818,0.481,6.42,8.83,9989,93,0.351,0.182,2.18,3.14,0.946,"T1",0.322,0.00103,102.8,0.836,0.507,7.32,10.3,9985,99,0.33,0.164,2.33,3.36,1.01
"2S02",0.466,0.000681,108.6,0.721,0.411,4.39,6.79,9978,106,0.383,0.279,1.92,2.76,0.832,"T1",0.462,0.000716,122.2,0.725,0.411,4.48,7.15,9980,120,0.364,0.275,1.97,2.84,0.854
"2S03",0.495,0.000565,108.5,0.675,0.391,3.69,5.65,9985,84,0.412,0.325,1.73,2.5,0.752,"T1",0.492,0.000599,121.3,0.679,0.39,3.76,5.97,9980,98,0.414,0.321,1.79,2.58,0.776
"2S04",0.373,0.00115,156.9,0.82,0.495,7.22,11.5,9996,140,0.454,0.18,2.44,3.53,1.06,"T1",0.371,0.00128,185.1,0.824,0.495,7.53,12.8,9999,174,0.457,0.176,2.55,3.68,1.11
"2W01",0.381,0.00135,125.2,0.828,0.545,8,13.4,9993,118,0.319,0.172,2.6,3.75,1.13,"T1",0.378,0.00156,139.4,0.836,0.559,8.7,15.6,9990,136,0.307,0.164,2.75,3.96,1.19
"2W02",0.282,0.00135,127.5,0.852,0.54,8.58,13.4,9987,123,0.315,0.148,2.6,3.75,1.13,"T1",0.276,0.00181,139.1,0.884,0.589,11.4,18,9985,136,0.292,0.116,2.89,4.17,1.26
"2W03",0.242,0.00173,132.9,0.895,0.591,11.9,17.3,9987,124,0.304,0.105,2.85,4.11,1.24,"T1",0.238,0.00202,153.4,0.902,0.603,13,20.2,9992,145,0.281,0.0982,3,4.33,1.3
"2W04",0.475,0.000951,120.5,0.745,0.474,5.27,9.51,9990,116,0.282,0.255,2.25,3.25,0.978,"T1",0.467,0.00109,143.2,0.759,0.482,5.73,10.9,9980,141,0.282,0.241,2.38,3.44,1.04
"3D01",0.31,0.000833,81.5,0.822,0.485,6.45,8.33,9998,79,0.362,0.178,2.12,3.06,0.92,"T1",0.297,0.00108,108.8,0.837,0.509,7.38,10.8,9996,107,0.315,0.163,2.38,3.43,1.03
"3D02",0.777,0.000289,60.1,0.39,0.263,1.93,2.88,9989,56,0.404,0.61,1.06,1.53,0.46,"T1",0.739,0.000392,76.5,0.45,0.316,2.24,3.91,9991,75,0.25,0.55,1.36,1.97,0.593
"3D03",0.356,0.000962,90.6,0.812,0.506,6.52,9.6,9984,87,0.273,0.188,2.26,3.26,0.982,"T1",0.345,0.00121,123.8,0.83,0.519,7.51,12.1,9984,122,0.26,0.17,2.5,3.6,1.08
"3D04",0.58,0.000439,74.9,0.611,0.348,3.04,4.39,9994,70,0.352,0.389,1.48,2.13,0.642,"T1",0.552,0.000605,107.8,0.651,0.389,3.58,6.04,9989,102,0.33,0.349,1.8,2.59,0.781
"3G01",0.327,0.000899,82.6,0.822,0.502,6.58,8.98,9990,79,0.3,0.178,2.2,3.17,0.953,"T1",0.303,0.00118,116,0.855,0.54,8.41,11.8,9991,97,0.378,0.145,2.47,3.56,1.07
"3G02",0.205,0.00125,92.3,0.879,0.56,9.45,12.5,9994,91,0.207,0.121,2.53,3.65,1.1,"T1",0.153,0.00188,113.4,0.918,0.622,14.1,18.8,9991,112,0.195,0.0821,2.93,4.23,1.27
"3G03",0.338,0.00115,130.5,0.828,0.502,7.28,11.4,9988,128,0.31,0.172,2.44,3.52,1.06,"T1",0.16,0.00209,155.1,0.918,0.606,14.7,20.8,9987,150,0.338,0.0819,3.04,4.38,1.32
"3G04",0.391,0.000799,84.8,0.778,0.469,5.43,7.99,9992,84,0.188,0.222,2.08,3,0.902,"T1",0.203,0.0014,100,0.88,0.574,9.89,14,9994,99,0.18,0.12,2.64,3.81,1.15
"3P01",0.554,0.000569,109.6,0.65,0.375,3.53,5.68,9981,102,0.379,0.35,1.74,2.5,0.754,"T1",0.549,0.000651,153.3,0.658,0.378,3.7,6.5,9983,142,0.399,0.342,1.87,2.7,0.813
"3P02",0.345,0.00133,147.5,0.835,0.52,7.96,13.3,9994,144,0.345,0.165,2.59,3.73,1.12,"T1",0.341,0.00166,195.6,0.842,0.536,8.8,16.6,9995,189,0.363,0.158,2.81,4.05,1.22
