Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1D01,0.455,0.000902,84.4,0.761,0.499,5.5,9.01,9992,82,0.289,0.239,2.2,3.17,0.955
1D02,0.461,0.000673,68.4,0.724,0.453,4.46,6.73,9994,67,0.294,0.276,1.91,2.75,0.828
1D03,0.428,0.000904,119.3,0.774,0.463,5.65,9.03,9989,116,0.308,0.226,2.2,3.18,0.956
1D04,0.427,0.00064,87.9,0.717,0.415,4.21,6.39,9990,87,0.193,0.283,1.85,2.68,0.806
1G01,0.162,0.00205,125.3,0.915,0.626,14.3,20.5,9994,124,0.208,0.0846,3.02,4.35,1.31
1G02,0.223,0.00145,104,0.881,0.579,10.1,14.5,9992,101,0.216,0.119,2.67,3.86,1.16
1G03,0.428,0.000877,85,0.777,0.494,5.68,8.76,9981,81,0.207,0.223,2.17,3.13,0.942
1G04,0.288,0.00139,111,0.865,0.56,9.23,13.9,9996,109,0.218,0.135,2.63,3.79,1.14
1P01,0.345,0.00107,88,0.831,0.533,7.34,10.7,9990,86,0.207,0.169,2.37,3.42,1.03
1P02,0.293,0.00114,87.2,0.844,0.546,7.81,11.4,9994,86,0.23,0.156,2.43,3.51,1.06
1P03,0.178,0.0015,100.5,0.9,0.593,11.5,15,9993,96,0.309,0.0995,2.71,3.9,1.18
1P04,0.265,0.00119,77.7,0.865,0.587,8.82,11.9,9991,68,0.319,0.135,2.48,3.57,1.08
1S01,0.462,0.000822,92.5,0.753,0.486,5.22,8.21,9992,76,0.299,0.247,2.11,3.04,0.914
1S02,0.406,0.000627,74,0.717,0.428,4.19,6.27,9999,73,0.243,0.283,1.84,2.65,0.797
1S03,0.173,0.0018,97,0.908,0.634,13.1,17.9,9982,95,0.25,0.0916,2.89,4.16,1.25
1S04,0.21,0.00252,190.5,0.913,0.616,15.3,25.2,10003,188,0.296,0.087,3.23,4.65,1.4
1W01,0.182,0.00164,123.3,0.9,0.583,11.8,16.4,9985,121,0.23,0.0997,2.8,4.03,1.21
1W02,0.165,0.00181,153,0.905,0.578,12.5,18,9990,149,0.32,0.0951,2.89,4.17,1.26
1W03,0.198,0.0015,135.1,0.885,0.561,10.3,15,9980,125,0.286,0.115,2.71,3.91,1.18
1W04,0.241,0.00164,145.3,0.882,0.565,10.6,16.4,9991,141,0.289,0.118,2.8,4.04,1.21
2D01,0.234,0.00157,125.8,0.89,0.576,11.1,15.7,9991,119,0.308,0.11,2.75,3.97,1.2
2D02,0.425,0.000922,87.1,0.774,0.498,5.7,9.21,9987,86,0.207,0.226,2.22,3.2,0.964
2D03,0.245,0.00146,117,0.871,0.564,9.62,14.6,9989,115,0.241,0.129,2.68,3.86,1.16
2D04,0.175,0.00204,130.1,0.916,0.62,14.4,20.4,9985,129,0.246,0.084,3.01,4.35,1.31
2G01,0.286,0.00119,92.5,0.857,0.55,8.41,11.9,9995,91,0.261,0.143,2.48,3.58,1.08
2G02,0.135,0.00216,110.2,0.931,0.657,16.7,21.6,9986,107,0.259,0.0692,3.07,4.43,1.33
2G03,0.382,0.00109,91.7,0.818,0.533,7.11,10.9,9993,88,0.337,0.182,2.39,3.44,1.04
2G04,0.797,0.000258,71.8,0.355,0.233,1.78,2.58,9999,58,0.356,0.645,0.948,1.37,0.412
2P01,0.47,0.00125,136.6,0.764,0.519,6.15,12.5,9985,129,0.3,0.236,2.52,3.64,1.1
2P02,0.505,0.00102,210.6,0.727,0.44,5.09,10.2,10023,196,0.467,0.273,2.32,3.35,1.01
2P03,0.327,0.000916,97.1,0.824,0.486,6.7,9.16,10001,95,0.344,0.176,2.21,3.19,0.962
2P04,0.452,0.00082,98.5,0.758,0.46,5.25,8.19,9987,97,0.265,0.242,2.1,3.03,0.913
2S01,0.789,0.000304,101.8,0.371,0.247,1.87,3.04,9979,90,0.374,0.629,1.11,1.6,0.482
2S02,0.438,0.000923,123.4,0.763,0.468,5.46,9.21,9985,115,0.388,0.237,2.22,3.2,0.964
2S03,0.387,0.000641,78,0.721,0.427,4.27,6.4,9991,77,0.256,0.279,1.86,2.68,0.806
2S04,0.421,0.00124,134.7,0.797,0.516,6.83,12.4,9992,132,0.278,0.203,2.52,3.63,1.09
2W01,0.371,0.00131,117,0.83,0.544,7.96,13.1,9989,114,0.322,0.17,2.57,3.71,1.12
2W02,0.394,0.00113,160.5,0.792,0.483,6.32,11.2,9981,150,0.364,0.208,2.42,3.49,1.05
2W03,0.433,0.000828,134.7,0.734,0.434,4.72,8.27,9986,130,0.305,0.266,2.11,3.05,0.918
2W04,0.578,0.000594,77.4,0.644,0.413,3.6,5.94,9997,75,0.289,0.356,1.78,2.57,0.774
3D01,0.429,0.0007,123.2,0.71,0.405,4.19,6.99,9977,122,0.26,0.29,1.94,2.8,0.844
3D02,0.466,0.000867,126.4,0.743,0.448,5.03,8.66,9984,124,0.264,0.257,2.16,3.11,0.937
3D03,0.37,0.00112,139.1,0.803,0.491,6.54,11.2,9988,137,0.283,0.197,2.42,3.49,1.05
3D04,0.455,0.000707,106.2,0.718,0.422,4.36,7.06,9983,103,0.317,0.282,1.95,2.82,0.849
3G01,0.617,0.000563,120.2,0.598,0.365,3.16,5.63,9989,113,0.333,0.402,1.73,2.49,0.75
3G02,0.46,0.00128,173.9,0.767,0.495,6.15,12.8,9978,172,0.283,0.233,2.55,3.67,1.11
3G03,0.45,0.000978,123.5,0.765,0.474,5.66,9.77,9988,122,0.325,0.235,2.28,3.29,0.99
3G04,0.201,0.00165,114,0.905,0.596,12.3,16.5,9982,110,0.306,0.0954,2.8,4.04,1.22
3P02,0.331,0.00158,158,0.856,0.546,9.37,15.7,9981,156,0.306,0.144,2.76,3.98,1.2
3P03,0.392,0.000962,132,0.783,0.466,5.81,9.62,9998,129,0.338,0.217,2.26,3.27,0.983
3P04,0.308,0.00141,195.3,0.857,0.51,8.87,14.1,9989,179,0.444,0.143,2.65,3.82,1.15
3S01,0.411,0.00115,141.1,0.799,0.495,6.68,11.5,9965,139,0.307,0.201,2.44,3.52,1.06
3S02,0.334,0.000653,108.4,0.762,0.403,4.78,6.52,9992,105,0.443,0.238,1.88,2.71,0.814
3S03,0.47,0.000943,129.8,0.751,0.462,5.37,9.42,9984,128,0.326,0.249,2.24,3.24,0.974
3S04,0.326,0.0012,152.8,0.816,0.495,7,11.9,9983,150,0.311,0.184,2.48,3.58,1.08
3W01,0.533,0.000725,144.9,0.684,0.402,4.07,7.23,9980,138,0.374,0.316,1.98,2.85,0.859
3W02,0.291,0.00109,125.6,0.829,0.495,7.08,10.9,9979,123,0.331,0.171,2.38,3.44,1.04
3W03,0.387,0.000747,102,0.731,0.435,4.54,7.48,10014,102,0,0.269,2.01,2.9,0.874
3W04,0.487,0.000738,114.4,0.713,0.422,4.39,7.37,9982,113,0.281,0.287,2,2.88,0.867
4D01,0.57,0.000624,141,0.64,0.372,3.51,6.24,10006,137,0.37,0.36,1.83,2.64,0.795
4D02,0.435,0.000456,94.2,0.633,0.335,3.08,4.55,9986,92,0.269,0.367,1.52,2.19,0.658
4D03,0.495,0.000647,118.1,0.676,0.392,3.78,6.45,9978,116,0.248,0.324,1.86,2.69,0.81
