Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
3W02,0.305,0.00118,143.1,0.833,0.502,7.44,11.8,10000,138,0.345,0.167,2.47,3.57,1.07
3W03,0.523,0.000618,98.5,0.683,0.4,3.9,6.17,9990,95,0.302,0.317,1.82,2.63,0.79
3W04,0.25,0.00147,141.2,0.863,0.544,9.16,14.7,9979,140,0.234,0.137,2.69,3.88,1.17
4D01,0.257,0.00145,140.9,0.866,0.541,9.23,14.5,9981,139,0.236,0.134,2.67,3.85,1.16
4D02,0.281,0.00137,124,0.86,0.543,8.88,13.7,9996,123,0.25,0.14,2.62,3.77,1.14
4D03,0.429,0.000596,98.5,0.689,0.39,3.79,5.95,9994,97,0.214,0.311,1.78,2.57,0.775
4G01,0.229,0.00124,107.1,0.862,0.552,8.68,12.4,9988,96,0.34,0.138,2.52,3.63,1.09
4G02,0.325,0.00124,80.1,0.848,0.585,8.39,12.4,9996,74,0.28,0.152,2.52,3.64,1.09
4G03,0.226,0.00142,94.1,0.882,0.588,10.2,14.2,9994,91,0.272,0.118,2.65,3.83,1.15
4G04,0.417,0.000985,81.1,0.788,0.537,6.18,9.85,9991,71,0.25,0.212,2.29,3.3,0.993
4P01,0.565,0.000733,128,0.663,0.413,3.96,7.32,9993,124,0.36,0.337,1.99,2.87,0.865
4P02,0.514,0.000666,91.5,0.687,0.426,3.99,6.65,9990,85,0.209,0.313,1.89,2.73,0.823
4P03,0.636,0.000487,113.1,0.574,0.351,2.92,4.86,9983,90,0.374,0.426,1.58,2.28,0.686
4P04,0.353,0.00119,156,0.808,0.493,6.76,11.9,9985,152,0.353,0.192,2.48,3.58,1.08
4S01,0.379,0.000894,106,0.776,0.477,5.56,8.93,9986,98,0.242,0.224,2.19,3.16,0.951
4S02,0.179,0.00157,132.1,0.891,0.567,10.9,15.7,9988,128,0.31,0.109,2.75,3.97,1.2
4S03,0.676,0.000446,114.3,0.528,0.318,2.62,4.45,9991,109,0.355,0.472,1.49,2.15,0.649
4S04,0.338,0.00152,185.2,0.846,0.525,8.69,15.2,10017,180,0.392,0.154,2.72,3.93,1.18
