Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
T0Y34,0.0981,0.00762,595.5,0.966,0.68,40.9,76.4,10025,587,0.463,0.0342,4.34,6.25,1.88
T0Y41,0.238,0.00207,231.2,0.895,0.56,12.5,20.7,9998,224,0.44,0.105,3.03,4.37,1.32
T0Y42,0.165,0.0038,297.5,0.935,0.64,21.5,37.9,9984,294,0.339,0.065,3.64,5.24,1.58
T0Y43,0.2,0.00187,182,0.901,0.577,12.5,18.7,9989,159,0.381,0.0991,2.93,4.22,1.27
T0Y44,0.121,0.0048,259.7,0.958,0.697,31,48,10008,259,0.235,0.0419,3.87,5.59,1.68
T0Y51,0.135,0.0049,328.2,0.955,0.673,30.2,49,10008,326,0.346,0.0448,3.89,5.62,1.69
T0Y52,0.0719,0.0136,545.5,0.982,0.779,81.3,135.4,9936,544,0.268,0.0175,4.91,7.08,2.13
T0Y53,0.231,0.0039,267.7,0.927,0.656,20.9,38.9,9978,265,0.308,0.0726,3.66,5.28,1.59
T0Y54,0.104,0.00562,340.6,0.962,0.691,34.3,56,9962,338,0.295,0.0382,4.02,5.81,1.75
T0Y61,0.257,0.00147,108.7,0.878,0.575,10.1,14.7,9989,107,0.306,0.122,2.69,3.88,1.17
T0Y62,0.447,0.000583,53,0.724,0.444,4.23,5.83,10005,53,0,0.276,1.76,2.54,0.766
T0Y63,0.201,0.00118,82.5,0.865,0.566,8.66,11.8,9997,78,0.266,0.135,2.47,3.56,1.07
T0Y64,0.299,0.000842,50,0.807,0.57,6.15,8.42,10002,42,0.186,0.193,2.13,3.07,0.925
T1Y11,0.135,0.0034,219.8,0.948,0.656,23.6,34,9990,216,0.332,0.052,3.53,5.09,1.53
T1Y12,0.237,0.00233,197.3,0.901,0.596,13.7,23.3,9999,196,0.264,0.0989,3.15,4.54,1.37
T1Y13,0.127,0.00308,215.7,0.938,0.639,20.3,30.8,9991,213,0.318,0.0617,3.43,4.94,1.49
T1Y14,0.247,0.00268,187.2,0.913,0.63,16,26.8,9988,185,0.258,0.0873,3.29,4.74,1.43
T1Y21,0.202,0.00162,148.4,0.898,0.561,11.7,16.2,10002,143,0.41,0.102,2.79,4.02,1.21
T1Y22,0.197,0.0018,178.3,0.896,0.566,11.9,18,9980,165,0.373,0.104,2.89,4.17,1.25
T1Y23,0.259,0.00123,167.6,0.843,0.491,7.78,12.3,9982,166,0.275,0.157,2.51,3.62,1.09
T1Y24,0.305,0.00194,275.5,0.864,0.53,10,19.4,9996,270,0.391,0.136,2.97,4.28,1.29
T1Y31,0.138,0.00701,520.3,0.957,0.681,35.1,70.1,9998,515,0.403,0.0429,4.25,6.13,1.85
T1Y32,0.0956,0.0106,490.2,0.977,0.753,62.8,105.8,9946,488,0.307,0.0227,4.66,6.72,2.02
T1Y33,0.0834,0.00939,451.1,0.974,0.742,54.6,93.1,9919,449,0.276,0.0258,4.53,6.54,1.97
T1Y34,0.101,0.00598,503.2,0.954,0.657,30.7,59.5,9947,500,0.375,0.0459,4.09,5.89,1.77
T1Y41,0.121,0.00397,283.6,0.949,0.653,25.2,39.5,9970,278,0.373,0.0511,3.68,5.31,1.6
T1Y42,0.33,0.00241,285.4,0.867,0.563,11.3,24,9975,283,0.345,0.133,3.18,4.59,1.38
T1Y43,0.293,0.00228,231,0.887,0.578,12.6,22.8,9975,223,0.339,0.113,3.13,4.51,1.36
T1Y51,0.192,0.00477,403.1,0.941,0.645,24.9,47.8,10036,401,0.316,0.0587,3.87,5.58,1.68
T1Y52,0.056,0.0125,314,0.984,0.839,84.3,124.6,9934,314,0,0.0158,4.82,6.96,2.1
T1Y53,0.126,0.00362,297.7,0.941,0.63,21.9,36,9956,294,0.369,0.0588,3.58,5.17,1.56
T1Y54,0.155,0.00562,425.7,0.954,0.667,31.4,56.3,10004,422,0.4,0.0457,4.03,5.81,1.75
T1Y62,0.616,0.000338,43,0.56,0.328,2.58,3.38,9994,41,0.286,0.44,1.22,1.76,0.529
T1Y63,0.228,0.00114,65.3,0.87,0.582,8.85,11.3,9989,65,0.167,0.13,2.43,3.5,1.05
ZD01,0.322,0.00211,232.9,0.861,0.56,10.4,21.1,10027,232,0.258,0.139,3.05,4.4,1.33
ZD02,0.22,0.00241,248.9,0.898,0.579,13.3,24.2,10030,244,0.371,0.102,3.18,4.59,1.38
ZD03,0.191,0.00251,220.1,0.91,0.598,14.8,25.1,9996,219,0.273,0.0904,3.22,4.65,1.4
ZD04,0.222,0.00243,255,0.891,0.58,12.9,24.4,10019,247,0.355,0.109,3.19,4.61,1.39
ZG01,0.374,0.000938,155.5,0.803,0.448,6.18,9.37,9987,148,0.443,0.197,2.24,3.23,0.972
ZG02,0.402,0.000907,165.4,0.782,0.433,5.67,9.04,9967,161,0.383,0.218,2.2,3.18,0.956
ZG03,0.389,0.000937,159.7,0.791,0.442,5.91,9.35,9970,157,0.335,0.209,2.23,3.22,0.971
ZG04,0.392,0.00094,162.6,0.791,0.442,5.91,9.38,9971,159,0.369,0.209,2.24,3.23,0.972
ZP01,0.143,0.00578,437.7,0.954,0.668,31,58,10032,435,0.349,0.0464,4.06,5.86,1.76
