Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1C01,0.312,0.000826,75.1,0.815,0.518,6.22,8.26,9996,59,0.283,0.185,2.11,3.05,0.917
1C02,0.252,0.0012,126,0.863,0.623,8.81,12,9996,54,0.218,0.137,2.49,3.59,1.08
1C03,0.337,0.000765,104.3,0.798,0.44,5.65,7.65,9999,102,0.291,0.202,2.03,2.94,0.884
1C04,0.399,0.000613,69.1,0.733,0.468,4.4,6.13,9997,48,0.265,0.267,1.81,2.62,0.787
1D01,0.364,0.000805,114.5,0.763,0.443,5.13,8.05,9991,111,0.33,0.237,2.09,3.01,0.906
1D02,0.564,0.000755,154.2,0.658,0.402,3.86,7.53,9979,152,0.327,0.342,2.02,2.91,0.877
1D04,0.43,0.000825,99.7,0.766,0.46,5.35,8.25,9992,98,0.283,0.234,2.11,3.04,0.916
1G01,0.398,0.000961,84.3,0.795,0.512,6.2,9.61,9993,83,0.19,0.205,2.26,3.26,0.983
1G02,0.319,0.000855,88.9,0.791,0.479,5.79,8.55,9996,88,0.258,0.209,2.15,3.1,0.932
1G03,0.705,0.000319,64.8,0.475,0.281,2.21,3.19,9987,62,0.302,0.525,1.16,1.67,0.504
1G04,0.517,0.000562,69.5,0.683,0.411,3.83,5.62,9999,67,0.265,0.317,1.73,2.49,0.75
1P01,0.625,0.000328,9,0.556,0.541,2.57,3.28,9999,9,0,0.444,1.19,1.72,0.516
1P02,0.245,0.00144,128.1,0.869,0.553,9.49,14.3,9981,124,0.296,0.131,2.66,3.84,1.16
1P03,0.299,0.000847,81.9,0.815,0.489,6.24,8.46,9998,79,0.3,0.185,2.14,3.08,0.928
1P04,0.451,0.000579,91.4,0.709,0.399,4.06,5.79,10015,82,0.47,0.291,1.76,2.53,0.763
1S01,0.33,0.000866,108,0.811,0.464,6.17,8.65,9988,105,0.255,0.189,2.16,3.11,0.937
1S02,0.325,0.00101,103,0.816,0.502,6.66,10,9980,99,0.31,0.184,2.31,3.33,1
1S03,0.387,0.00118,120.1,0.814,0.521,7.12,11.8,9985,114,0.243,0.186,2.47,3.56,1.07
1S04,0.245,0.00111,98,0.855,0.534,8.07,11.1,9995,90,0.264,0.145,2.4,3.47,1.04
