"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"45","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","P",0.0150037509377344,NA,1,NA,0.0150037509377344,"Rutstroemiaceae;g__unidentified","Pine-Oak","OTU"
"50","p__Ascomycota;f__unidentified;g__unidentified","P",39.0885221305326,1.85300373632165,4,0.926501868160825,41.8604651162791,"unidentified Ascomycota","Pine-Oak","OTU"
"4","p__;f__other taxa","S",44.9849962490623,0,3.33333333333333,0,NA,"other taxa","Subalpine","OTU"
"9","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","S",13.6121530382596,2.81365671098166,4,1.40682835549083,16.15903975994,"Dothideaceae;g__Endoconidioma","Subalpine","OTU"
"12","p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis;g__Ramimonilia","S",0.0600150037509377,NA,1,NA,0.0600150037509377,"Dothideomycetes; g__Ramimonilia","Subalpine","OTU"
"17","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","S",0.348837209302326,0.0256237828606141,4,0.0128118914303071,0.375093773443361,"Dothioraceae;g__Aureobasidium","Subalpine","OTU"
"24","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","S",0.123780945236309,0.0354524803169738,4,0.0177262401584869,0.150037509377344,"Mycosphaerellaceae;g__Mycosphaerella","Subalpine","OTU"
"31","p__Ascomycota;f__Pleosporaceae;g__Alternaria","S",0.255063765941485,0.132509540380013,4,0.0662547701900063,0.435108777194299,"Pleosporaceae;g__Alternaria","Subalpine","OTU"
"36","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Ascochyta","S",0.0600150037509377,0.0779617767847957,3,0.0450112528132033,0.150037509377344,"Pleosporales;g__Ascochyta","Subalpine","OTU"
"42","p__Ascomycota;f__Rhytismataceae;g__unidentified","S",7.14178544636159,2.00238720697726,4,1.00119360348863,9.73743435858965,"Rhytismataceae;g__unidentified","Subalpine","OTU"
"46","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","S",0.0225056264066017,0.010609254031306,2,0.00750187546886722,0.0300075018754689,"Rutstroemiaceae;g__unidentified","Subalpine","OTU"
"51","p__Ascomycota;f__unidentified;g__unidentified","S",33.390847711928,1.32591625568139,4,0.662958127840697,34.8837209302326,"unidentified Ascomycota","Subalpine","OTU"
"5","p__;f__other taxa","W",24.9474868717179,0,3.8,0,NA,"other taxa","Scrubland","OTU"
"10","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","W",3.77344336084021,2.12702534908567,4,1.06351267454284,6.81170292573143,"Dothideaceae;g__Endoconidioma","Scrubland","OTU"
"13","p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis;g__Ramimonilia","W",24.2723180795199,8.47618868637093,4,4.23809434318547,35.3638409602401,"Dothideomycetes; g__Ramimonilia","Scrubland","OTU"
"18","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","W",12.0030007501875,2.06750744287693,4,1.03375372143846,13.9234808702176,"Dothioraceae;g__Aureobasidium","Scrubland","OTU"
"25","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","W",0.315078769692423,0.274750321476777,4,0.137375160738388,0.645161290322581,"Mycosphaerellaceae;g__Mycosphaerella","Scrubland","OTU"
"27","p__Ascomycota;f__Phaeosphaeriaceae;g__Stagonospora","W",5.51762940735184,1.56588061096465,4,0.782940305482324,7.59189797449362,"Phaeosphaeriaceae;g__Stagonospora","Scrubland","OTU"
"32","p__Ascomycota;f__Pleosporaceae;g__Alternaria","W",3.39084771192798,1.52670077682401,4,0.763350388412003,5.22130532633158,"Pleosporaceae;g__Alternaria","Scrubland","OTU"
"37","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Ascochyta","W",2.97074268567142,0.581995995260526,4,0.290997997630263,3.58589647411853,"Pleosporales;g__Ascochyta","Scrubland","OTU"
"40","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","W",0.0150037509377344,0,2,0,0.0150037509377344,"Pleosporales;g__Phoma","Scrubland","OTU"
"47","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","W",7.06301575393849,1.30715740193958,4,0.653578700969792,8.74718679669918,"Rutstroemiaceae;g__unidentified","Scrubland","OTU"
"52","p__Ascomycota;f__unidentified;g__unidentified","W",15.7314328582146,2.05730186918687,4,1.02865093459344,17.7644411102776,"unidentified Ascomycota","Scrubland","OTU"
