"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"40","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","P",0.247747747747748,0.0760694902581114,4,0.0380347451290557,0.3003003003003,"Ascomycota;f__Pleosporales","Pine-Oak","ESV"
"44","k__Fungi;p__Ascomycota;f__Rhytismataceae","P",10.8596096096096,3.63955157608933,4,1.81977578804467,15.9159159159159,"Ascomycota;f__Rhytismataceae","Pine-Oak","ESV"
"48","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","P",0.045045045045045,0.0212344378734699,4,0.0106172189367349,0.0750750750750751,"Ascomycota;f__Rutstroemiaceae","Pine-Oak","ESV"
"53","k__Fungi;p__Ascomycota;f__unidentified","P",39.0878378378378,2.12621572655231,4,1.06310786327615,42.2672672672673,"Ascomycota;f__unidentified","Pine-Oak","ESV"
"4","k__;p__;f__other families","S",36.6741741741742,0,4,0,NA,";f__other families","Subalpine","ESV"
"11","k__Fungi;p__Ascomycota;f__Dothideaceae","S",14.0315315315315,3.23829238776237,4,1.61914619388118,17.0870870870871,"Ascomycota;f__Dothideaceae","Subalpine","ESV"
"16","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","S",0.217717717717718,0.118545738561832,4,0.059272869280916,0.36036036036036,"Ascomycota;f__Dothideomycetes","Subalpine","ESV"
"21","k__Fungi;p__Ascomycota;f__Dothioraceae","S",0.581831831831832,0.0718789119937191,4,0.0359394559968595,0.675675675675676,"Ascomycota;f__Dothioraceae","Subalpine","ESV"
"26","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","S",4.42192192192192,1.67265290413393,4,0.836326452066966,6.65165165165165,"Ascomycota;f__Herpotrichiellaceae","Subalpine","ESV"
"31","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","S",0.33033033033033,0.027413541416675,4,0.0137067707083375,0.36036036036036,"Ascomycota;f__Mycosphaerellaceae","Subalpine","ESV"
"36","k__Fungi;p__Ascomycota;f__Pleosporaceae","S",0.322822822822823,0.140050736532865,4,0.0700253682664325,0.51051051051051,"Ascomycota;f__Pleosporaceae","Subalpine","ESV"
"41","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","S",0.724474474474474,0.295093753859363,4,0.147546876929681,1.11111111111111,"Ascomycota;f__Pleosporales","Subalpine","ESV"
"45","k__Fungi;p__Ascomycota;f__Rhytismataceae","S",9.25675675675676,2.09079254243398,4,1.04539627121699,11.8168168168168,"Ascomycota;f__Rhytismataceae","Subalpine","ESV"
"49","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","S",0.0788288288288288,0.0284229646936951,4,0.0142114823468475,0.12012012012012,"Ascomycota;f__Rutstroemiaceae","Subalpine","ESV"
"54","k__Fungi;p__Ascomycota;f__unidentified","S",33.3596096096096,1.26289130331693,4,0.631445651658466,34.6996996996997,"Ascomycota;f__unidentified","Subalpine","ESV"
"5","k__;p__;f__other families","W",21.234984984985,0,4,0,NA,";f__other families","Scrubland","ESV"
"8","k__Fungi;p__Ascomycota;f__Didymellaceae","W",2.07582582582583,0.487679890419282,4,0.243839945209641,2.49249249249249,"Ascomycota;f__Didymellaceae","Scrubland","ESV"
"12","k__Fungi;p__Ascomycota;f__Dothideaceae","W",4.01651651651652,2.57688747479716,4,1.28844373739858,7.82282282282282,"Ascomycota;f__Dothideaceae","Scrubland","ESV"
"17","k__Fungi;p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis","W",24.3468468468468,8.41930957160689,4,4.20965478580345,35.3903903903904,"Ascomycota;f__Dothideomycetes","Scrubland","ESV"
"22","k__Fungi;p__Ascomycota;f__Dothioraceae","W",12.5075075075075,1.76930997428728,4,0.884654987143638,14.009009009009,"Ascomycota;f__Dothioraceae","Scrubland","ESV"
"27","k__Fungi;p__Ascomycota;f__Herpotrichiellaceae","W",6.48273273273273,0.967925137220568,4,0.483962568610284,7.92792792792793,"Ascomycota;f__Herpotrichiellaceae","Scrubland","ESV"
"32","k__Fungi;p__Ascomycota;f__Mycosphaerellaceae","W",0.183933933933934,0.11783040407401,4,0.0589152020370048,0.36036036036036,"Ascomycota;f__Mycosphaerellaceae","Scrubland","ESV"
"37","k__Fungi;p__Ascomycota;f__Pleosporaceae","W",6.08483483483483,2.57358627585948,4,1.28679313792974,9.15915915915916,"Ascomycota;f__Pleosporaceae","Scrubland","ESV"
"42","k__Fungi;p__Ascomycota;f__Pleosporales_fam_Incertae_sedis","W",0.960960960960961,0.397449083004841,4,0.198724541502421,1.21621621621622,"Ascomycota;f__Pleosporales","Scrubland","ESV"
"50","k__Fungi;p__Ascomycota;f__Rutstroemiaceae","W",7.45495495495495,1.304291244364,4,0.652145622182002,8.99399399399399,"Ascomycota;f__Rutstroemiaceae","Scrubland","ESV"
"55","k__Fungi;p__Ascomycota;f__unidentified","W",14.6509009009009,1.82003516269849,4,0.910017581349246,16.8618618618619,"Ascomycota;f__unidentified","Scrubland","ESV"
