"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"41","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","S",0.03003003003003,0.015015015015015,3,0.00866892296080519,0.045045045045045,"Rutstroemiaceae;g__unidentified","Subalpine","ESV"
"46","p__Ascomycota;f__unidentified;g__unidentified","S",33.3596096096096,1.26289130331693,4,0.631445651658466,34.6996996996997,"unidentified Ascomycota","Subalpine","ESV"
"5","p__;f__other taxa","W",26.7567567567568,0,3.8,0,NA,"other taxa","Scrubland","ESV"
"8","p__Ascomycota;f__Didymellaceae;g__Nothophoma","W",2.07582582582583,0.487679890419282,4,0.243839945209641,2.49249249249249,"Didymellaceae;g__Nothophoma","Scrubland","ESV"
"12","p__Ascomycota;f__Dothideaceae;g__Endoconidioma","W",4.01651651651652,2.57688747479716,4,1.28844373739858,7.82282282282282,"Dothideaceae;g__Endoconidioma","Scrubland","ESV"
"15","p__Ascomycota;f__Dothideomycetes_fam_Incertae_sedis;g__Ramimonilia","W",24.2042042042042,8.44298802614171,4,4.22149401307086,35.2852852852853,"Dothideomycetes; g__Ramimonilia","Scrubland","ESV"
"20","p__Ascomycota;f__Dothioraceae;g__Aureobasidium","W",11.7755255255255,1.88099148584215,4,0.940495742921074,13.4234234234234,"Dothioraceae;g__Aureobasidium","Scrubland","ESV"
"25","p__Ascomycota;f__Mycosphaerellaceae;g__Mycosphaerella","W",0.0975975975975976,0.12532516542091,4,0.062662582710455,0.285285285285285,"Mycosphaerellaceae;g__Mycosphaerella","Scrubland","ESV"
"27","p__Ascomycota;f__Phaeosphaeriaceae;g__Stagonospora","W",5.50675675675676,1.34613468683918,4,0.673067343419592,7.1021021021021,"Phaeosphaeriaceae;g__Stagonospora","Scrubland","ESV"
"32","p__Ascomycota;f__Pleosporaceae;g__Alternaria","W",3.44594594594595,1.54654654654655,4,0.773273273273273,5.28528528528529,"Pleosporaceae;g__Alternaria","Scrubland","ESV"
"35","p__Ascomycota;f__Pleosporales_fam_Incertae_sedis;g__Phoma","W",0.015015015015015,0,2,0,0.015015015015015,"Pleosporales;g__Phoma","Scrubland","ESV"
"42","p__Ascomycota;f__Rutstroemiaceae;g__unidentified","W",7.45495495495495,1.304291244364,4,0.652145622182002,8.99399399399399,"Rutstroemiaceae;g__unidentified","Scrubland","ESV"
"47","p__Ascomycota;f__unidentified;g__unidentified","W",14.6509009009009,1.82003516269849,4,0.910017581349246,16.8618618618619,"unidentified Ascomycota","Scrubland","ESV"
