"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu1158",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae"
"Otu333",0,0,0,0,1,2,3,3,37,105,46,87,19,4,9,29,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu2198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu1010",0,0,0,0,0,0,0,1,2,3,3,1,1,0,0,2,0,0,3,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria"
"Otu1071",0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae"
"Otu2307",1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,"k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__"
"Otu345",0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
"Otu455",0,2,0,1,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__"
"Otu809",0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__"
"Otu1062",0,0,0,0,1,0,0,2,6,8,3,6,0,1,0,5,1,0,0,0,"k__Bacteria; p__Proteobacteria"
"Otu1637",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"
"Otu3126",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__"
"Otu305",0,0,0,0,13,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__mobilis"
"Otu2912",1,0,0,0,0,0,0,0,3,10,1,1,0,0,2,3,0,0,0,1,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae"
"Otu894",0,0,0,0,6,6,10,8,0,0,0,0,0,0,0,0,2,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__"
"Otu265",0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__"
"Otu1254",0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__"
"Otu880",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu1690",0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae"
"Otu1120",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae"
"Otu1990",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__"
"Otu1449",0,0,0,0,1,0,0,0,8,4,4,12,2,0,1,5,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae"
"Otu934",0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,1,"k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__"
"Otu735",1,0,0,0,1,0,1,2,0,9,11,49,2,0,3,3,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__"
"Otu1615",0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__"
"Otu1499",0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__"
"Otu442",0,0,0,0,0,2,4,9,0,0,0,0,0,0,0,1,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu669",0,0,0,0,2,0,2,3,43,54,26,52,17,8,5,61,2,2,1,0,"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__; s__"
"Otu1167",1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu937",0,0,0,0,1,0,2,0,0,0,1,4,0,0,2,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
"Otu723",0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu2041",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__"
"Otu1781",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales"
"Otu1133",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__multivorum"
"Otu2933",0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae"
"Otu1089",0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Dactylosporangium; s__"
"Otu619",0,0,0,0,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__"
"Otu965",0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
"Otu2480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae"
"Otu2434",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__"
"Otu745",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__; g__; s__"
"Otu426",0,0,6,0,0,0,2,0,20,7,17,12,3,0,3,8,3,0,2,1,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__"
"Otu323",0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Cellvibrio; s__"
"Otu784",0,0,0,0,7,0,2,10,0,0,0,2,0,0,0,3,0,0,0,1,"k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__"
"Otu1561",0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0,1,0,"k__Bacteria; p__FBP; c__; o__; f__; g__; s__"
"Otu2316",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu2176",0,0,0,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu2243",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
"Otu857",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,1,6,1,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu2610",0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,2,4,1,0,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__"
"Otu2399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__"
"Otu887",0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae"
