"","ZD01","ZD02","ZD03","ZD04","ZG01","ZG02","ZG03","ZG04","ZP01","ZP02","ZP03","ZP04","ZS01","ZS02","ZS03","ZS04","ZW01","ZW02","ZW03","ZW04","Consensus.Lineage"
"Otu129",107,75,79,140,13,17,11,20,0,14,5,17,5,0,0,1,27,6,18,21,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu46",247,150,222,320,0,1,0,1,0,0,0,0,0,0,0,0,146,38,67,35,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu38",192,139,171,273,249,174,265,684,35,241,234,311,48,38,59,160,62,57,99,124,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu254",50,28,37,97,55,69,60,102,1,3,2,1,0,0,0,1,61,29,90,79,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__"
"Otu106",128,88,91,173,30,33,41,57,0,6,0,0,1,0,0,0,131,61,103,121,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__"
"Otu3107",37,44,45,63,0,0,0,0,1,0,0,0,0,0,1,0,9,2,3,8,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu355",69,18,53,32,5,2,0,24,0,0,0,0,0,0,0,0,23,5,12,2,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae; g__Cystobacter; s__"
"Otu401",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__"
"Otu126",1349,899,1087,1503,38,35,37,95,111,116,153,81,27,49,30,68,410,263,336,38,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__"
"Otu30",632,429,484,572,190,196,286,246,441,480,295,507,124,63,100,256,350,201,332,145,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__"
"Otu6",2540,1852,1868,2834,784,673,811,1747,206,282,239,415,81,57,73,157,660,565,670,625,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__"
"Otu93",674,423,548,716,12,37,30,27,0,0,0,0,0,0,1,0,173,91,138,148,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__"
"Otu122",206,104,117,143,0,0,0,0,0,1,0,0,2,0,1,0,11,7,9,11,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae"
"Otu715",3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae"
"Otu44",540,420,444,604,31,40,44,60,42,52,39,150,15,6,9,24,132,78,143,118,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__"
"Otu125",16,17,12,16,4,11,6,6,0,0,0,0,1,0,1,0,3,2,8,8,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Planomicrobium; s__"
"Otu389",242,159,334,379,21,14,22,32,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu57",163,133,132,215,10,17,15,12,218,219,162,359,48,11,18,72,77,30,65,93,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae"
"Otu17",2911,1755,2331,2467,62,65,83,68,19,16,14,47,1,2,1,1,421,192,262,138,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__"
"Otu26",293,184,209,338,53,47,67,102,21,25,29,20,3,1,1,9,242,166,147,265,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
"Otu842",25,18,10,26,0,1,3,3,21,22,7,10,3,5,6,5,0,0,2,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__"
"Otu147",184,156,150,178,74,101,127,95,21,191,125,260,65,26,37,64,70,27,51,27,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae"
"Otu20",382,319,300,532,58,35,54,142,97,186,140,79,42,11,21,87,117,86,152,166,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu19",111,75,64,128,243,163,239,593,11,13,17,6,7,0,2,27,79,47,65,45,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__"
"Otu3",2357,1621,1771,2623,297,436,454,643,204,188,131,176,41,25,29,84,918,762,759,1161,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__"
"Otu146",231,151,188,249,0,4,0,2,0,0,0,0,0,0,0,0,11,7,7,5,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__"
"Otu22",168,111,133,205,1727,1057,1656,3128,399,232,390,309,69,34,50,282,250,128,148,28,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__"
"Otu103",142,100,136,205,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1,5,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu181",7,0,6,2,18,24,21,57,0,2,2,9,0,1,1,1,54,28,36,75,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__"
"Otu291",358,284,293,508,166,133,53,459,20,65,35,27,7,0,6,33,64,58,103,111,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu39",539,390,474,586,8,11,17,13,0,3,0,0,0,0,0,0,128,97,96,70,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__aerilata"
"Otu188",73,52,53,104,1,1,1,0,1,1,1,0,0,0,0,0,2,3,1,2,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae"
"Otu962",110,58,73,121,188,149,231,528,64,81,71,89,11,11,13,96,31,37,65,58,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu536",255,147,199,191,1,3,0,0,0,6,2,3,0,0,0,1,40,18,40,19,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__; s__"
"Otu41",254,185,198,286,80,105,114,194,0,8,0,0,0,0,0,0,92,47,94,53,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu131",141,84,98,113,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__"
"Otu599",41,28,25,45,21,9,54,42,39,34,33,15,2,5,7,42,12,6,5,4,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu43",60,50,39,143,6,1,4,12,538,483,395,353,135,53,74,292,198,161,245,189,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__"
"Otu108",121,64,66,126,10,5,11,13,0,0,0,0,0,0,0,0,20,0,2,3,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__"
"Otu2438",151,101,146,148,5,11,13,8,0,0,0,0,0,0,1,1,17,7,26,15,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
"Otu2780",17,14,12,31,3,6,0,8,0,0,0,0,0,0,0,0,2,0,1,3,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
"Otu581",207,172,189,264,3,3,7,10,0,0,0,0,0,0,0,0,42,10,20,30,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__"
"Otu13",178,141,153,157,1575,1692,2231,2302,95,131,109,165,41,32,27,86,172,114,194,94,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium; s__"
"Otu1397",211,139,122,230,45,32,59,106,0,0,0,0,0,0,0,0,82,36,70,88,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu623",11,9,4,5,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae"
"Otu204",67,37,40,62,48,39,40,90,1,8,10,1,5,0,3,7,18,5,15,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales"
"Otu169",11,19,12,12,19,10,22,32,2,20,15,22,5,3,1,7,20,8,13,1,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__Patulibacter; s__"
"Otu318",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42,20,35,27,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu2658",92,49,75,111,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu60",412,280,294,460,5,2,5,7,0,0,0,0,0,0,0,0,85,39,36,23,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu137",195,141,113,150,0,0,0,0,0,0,0,0,0,0,0,0,15,7,6,1,"k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__"
"Otu62",213,140,185,219,25,33,25,73,29,57,27,54,4,5,8,5,133,72,118,80,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas"
"Otu959",5,1,3,2,0,0,0,0,1,0,1,8,0,0,0,0,5,0,2,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
"Otu1222",6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu27",30,20,29,48,1077,764,845,1912,9,5,23,37,5,1,3,17,111,105,146,21,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu127",12,18,19,18,14,21,22,17,109,104,94,188,27,13,20,55,12,5,5,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nakamurellaceae; g__; s__"
"Otu678",15,12,16,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales"
"Otu2027",297,242,287,292,39,38,37,45,1,4,1,12,0,0,0,0,42,18,20,9,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae"
"Otu352",24,10,23,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__"
"Otu952",19,9,8,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae"
"Otu1180",9,8,2,6,1,1,5,6,0,0,0,0,0,0,0,0,4,3,4,5,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu391",0,2,3,4,7,6,11,15,0,0,2,12,1,0,2,0,5,8,10,11,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__; s__"
"Otu1164",1,3,0,1,5,0,3,3,0,0,0,0,0,0,0,0,1,3,2,6,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__"
"Otu328",2,1,5,0,6,12,13,9,0,0,2,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__"
"Otu110",35,26,13,34,16,14,16,22,45,70,136,58,22,7,13,55,19,8,21,25,"k__Bacteria; p__FBP; c__; o__; f__; g__; s__"
"Otu348",86,52,71,89,12,17,21,41,2,0,1,2,0,0,0,2,16,11,16,13,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__"
"Otu40",124,139,108,171,0,0,0,2,74,58,18,21,4,4,1,24,136,130,88,83,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu793",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__"
"Otu2241",5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales"
"Otu2055",4,8,5,11,1,1,1,4,0,0,0,1,0,0,0,0,4,1,2,1,"k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__"
"Otu1670",20,15,16,13,2,1,0,1,70,32,30,166,3,0,0,2,92,63,194,96,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__"
"Otu865",2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__"
"Otu792",11,6,0,4,0,1,2,0,0,0,1,0,1,1,0,3,0,1,2,3,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__"
"Otu56",56,63,50,104,0,0,0,0,89,75,29,88,23,8,6,20,82,85,54,45,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__"
"Otu120",150,85,112,130,93,103,126,120,0,0,0,0,0,0,0,0,51,14,49,12,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus; s__"
"Otu222",59,58,51,81,0,0,3,7,0,0,0,0,0,0,0,0,10,4,23,9,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__"
"Otu544",16,6,18,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__"
"Otu82",214,169,214,257,12,15,17,23,0,1,0,0,0,0,0,0,122,28,79,12,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__"
"Otu35",308,229,286,335,4,1,8,2,20,4,3,2,1,0,0,0,485,209,668,430,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__"
"Otu123",114,95,120,163,4,5,6,11,0,0,1,3,4,0,1,0,40,24,39,46,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__mucosa"
"Otu1992",18,8,25,20,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu269",107,68,94,111,15,13,18,27,0,0,0,1,1,0,0,0,23,5,12,2,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__"
"Otu1125",57,42,44,49,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__"
"Otu675",6,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae"
"Otu3080",8,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__"
"Otu21",10,6,3,12,8,10,6,16,100,444,189,88,105,23,13,153,16,3,6,12,"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__cryoconitis"
"Otu275",11,6,11,10,18,21,14,19,13,25,13,12,4,3,3,15,9,1,6,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii"
"Otu2673",3,4,2,3,0,0,1,5,0,7,3,15,3,0,1,2,2,2,1,1,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales"
"Otu63",62,48,63,96,210,222,270,412,2,15,11,46,2,0,3,0,61,22,59,47,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum"
"Otu112",11,8,1,9,22,28,23,62,0,0,1,0,1,1,3,5,15,2,4,6,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"
"Otu591",5,7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__"
"Otu88",279,193,182,326,3,1,5,12,0,0,0,0,0,0,0,0,42,11,42,27,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__"
"Otu3013",122,98,130,158,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas"
"Otu1446",25,21,12,24,0,0,0,0,0,0,0,0,0,0,0,0,71,24,36,33,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"Otu61",13,10,13,14,67,59,48,189,1,14,8,41,1,0,0,2,67,84,100,133,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__"
"Otu339",19,17,22,17,6,0,5,6,0,0,0,0,0,0,0,0,12,2,9,7,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__"
"Otu942",25,16,27,33,0,1,0,5,0,0,0,0,0,0,0,0,6,5,6,9,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae"
"Otu987",6,2,3,1,2,2,1,8,0,2,3,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__"
"Otu70",3,0,0,0,56,45,86,121,179,241,158,162,72,30,52,138,31,56,40,75,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu283",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae"
"Otu154",54,39,30,51,6,2,4,0,0,0,0,0,0,0,0,0,11,1,4,4,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu889",0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae"
"Otu325",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__"
"Otu130",109,82,126,157,2,2,3,11,0,1,0,0,1,0,0,1,22,12,15,10,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__"
"Otu81",119,145,94,136,10,11,17,32,39,38,44,63,14,1,2,11,232,113,304,203,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__"
"Otu615",13,12,13,23,0,1,0,1,0,1,0,0,0,0,0,1,4,2,0,0,"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales"
"Otu1612",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae"
"Otu1078",0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes"
"Otu622",2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae"
"Otu356",22,10,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__"
"Otu398",8,3,4,13,1,3,3,2,3,3,2,25,1,0,0,4,29,6,22,4,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae; g__; s__"
"Otu151",49,37,35,47,34,14,42,80,12,51,27,52,0,2,0,3,33,20,43,56,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
"Otu509",12,6,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu538",1,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae"
"Otu322",55,27,23,27,3,1,4,1,0,0,0,0,0,0,0,0,6,4,6,6,"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__"
"Otu1436",39,20,34,36,0,3,1,2,14,22,9,35,0,1,0,0,13,9,23,25,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__"
"Otu262",65,45,42,62,44,63,58,63,6,5,4,20,4,0,4,1,12,14,22,4,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__"
"Otu2981",44,37,40,63,0,2,2,8,0,0,0,0,0,0,0,0,5,2,2,1,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__"
"Otu698",3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria"
"Otu77",29,37,10,31,2,0,1,1,64,190,72,62,23,22,25,49,95,52,50,43,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales"
"Otu296",43,37,40,49,1,0,0,2,0,0,0,0,0,0,0,0,11,1,2,4,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__"
"Otu170",211,105,138,193,21,21,38,50,1,0,0,4,2,0,2,0,57,30,34,13,"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales"
"Otu1433",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__"
"Otu2883",1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"k__Bacteria"
"Otu167",217,115,180,224,18,16,22,38,0,0,0,0,1,0,2,0,16,7,16,6,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Geodermatophilus; s__obscurus"
"Otu1492",113,79,90,135,0,0,0,0,0,0,0,0,0,0,0,0,57,21,38,69,"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__"
"Otu1462",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
"Otu583",61,37,44,44,1,2,3,0,0,0,0,0,0,0,0,0,19,7,13,5,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__"
"Otu1090",14,5,14,20,4,0,8,9,0,0,0,0,0,0,0,0,20,17,22,9,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas"
"Otu1104",10,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
