#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu76,0,0,0,0,0,0,0,0,676,584,485,757,189,52,109,314,0,0,1,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia
Otu97,0,0,0,0,0,0,0,0,712,627,540,448,214,99,128,355,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu115,0,0,0,0,0,0,1,1,589,628,379,470,201,107,114,338,6,5,17,8,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu110,0,0,0,0,0,0,0,0,745,489,267,776,138,67,59,197,0,0,0,0,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu43,0,0,0,0,1,0,0,0,366,462,372,506,227,113,146,495,1,0,0,1,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu50,416,272,308,349,49,64,113,97,6,42,29,54,9,9,9,33,264,145,227,111,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
Otu91,0,0,0,0,0,1,0,0,833,450,315,497,75,42,48,243,4,1,3,2,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu41,15,6,14,26,515,329,351,1030,0,0,2,1,3,0,3,10,56,49,56,13,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
Otu93,0,0,0,0,0,0,0,0,372,382,324,544,193,163,131,358,0,0,0,2,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae
Otu62,3,2,4,2,428,426,637,834,10,12,7,5,4,3,2,28,3,3,2,4,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea; s__agglomerans
Otu90,0,0,0,0,0,0,0,0,407,337,333,578,115,99,82,412,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
Otu192,0,0,0,0,0,1,4,3,414,400,401,489,119,63,90,306,2,3,12,7,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__
Otu32,7,1,5,7,212,156,198,402,275,164,290,219,40,16,35,215,19,11,11,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
