"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"39","p__Proteobacteria;f__Acetobacteraceae;g__unidentified","S",20.9082784046475,1.66254275311398,4,0.831271376556989,22.4555915540163,"Acetobacteraceae;g__unidentified","Subalpine","OTU"
"44","p__Proteobacteria;f__Caulobacteraceae;g__unidentified","S",7.37627080773098,1.56471929047239,4,0.782359645236194,9.35091051279187,"Caulobacteraceae;g__unidentified","Subalpine","OTU"
"49","p__Proteobacteria;f__Methylobacteriaceae;g__Methylobacterium","S",0.223438721930511,0.0473985106370158,4,0.0236992553185079,0.279298402413138,"Methylobacteriaceae;g__Methylobacterium","Subalpine","OTU"
"54","p__Proteobacteria;f__Oxalobacteraceae;g__Janthinobacterium","S",0.371466875209474,0.149435521001254,4,0.0747177605006268,0.558596804826276,"Oxalobacteraceae;g__Janthinobacterium","Subalpine","OTU"
"59","p__Proteobacteria;f__Sphingomonadaceae;g__Sphingomonas","S",4.04144788291811,0.32306990818727,4,0.161534954093635,4.51346218299631,"Sphingomonadaceae;g__Sphingomonas","Subalpine","OTU"
"5","p__;f__other taxa","W",38.7079655904368,0,4,0,NA,"other taxa","Scrubland","OTU"
"10","p__Acidobacteria;f__Acidobacteriaceae;g__unidentified","W",4.80672550553011,1.86758274313478,4,0.933791371567389,7.16121103787286,"Acidobacteriaceae;g__unidentified","Scrubland","OTU"
"15","p__Actinobacteria;f__Geodermatophilaceae;g__Modestobacter","W",2.35169254831862,0.904742904945916,4,0.452371452472958,3.53033180650207,"Geodermatophilaceae;g__Modestobacter","Scrubland","OTU"
"20","p__Actinobacteria;f__Microbacteriaceae;g__Curtobacterium","W",1.32387442743827,0.371708295377368,4,0.185854147688684,1.80985364763714,"Microbacteriaceae;g__Curtobacterium","Scrubland","OTU"
"25","p__Bacteroidetes;f__Chitinophagaceae;g__Segetibacter","W",8.77276281979667,3.00380897977192,4,1.50190448988596,12.5237403642051,"Chitinophagaceae;g__Segetibacter","Scrubland","OTU"
"30","p__Bacteroidetes;f__Cytophagaceae;g__Hymenobacter","W",2.87118757680706,0.740219808891853,4,0.370109904445927,3.55267567869512,"Cytophagaceae;g__Hymenobacter","Scrubland","OTU"
"35","p__Bacteroidetes;f__Sphingobacteriaceae;g__unidentified","W",7.55222880125126,1.91513185459189,4,0.957565927295944,10.0882582951626,"Sphingobacteriaceae;g__unidentified","Scrubland","OTU"
"40","p__Proteobacteria;f__Acetobacteraceae;g__unidentified","W",11.8254943581723,2.27597867223744,4,1.13798933611872,13.7414813987264,"Acetobacteraceae;g__unidentified","Scrubland","OTU"
"45","p__Proteobacteria;f__Caulobacteraceae;g__unidentified","W",2.13383979443638,0.186719564096699,4,0.0933597820483497,2.27907496369121,"Caulobacteraceae;g__unidentified","Scrubland","OTU"
"50","p__Proteobacteria;f__Methylobacteriaceae;g__Methylobacterium","W",9.03251033404089,2.08933127128422,4,1.04466563564211,12.0433471120545,"Methylobacteriaceae;g__Methylobacterium","Scrubland","OTU"
"55","p__Proteobacteria;f__Oxalobacteraceae;g__Janthinobacterium","W",1.26801474695565,0.703358928930413,4,0.351679464465206,1.98860462518154,"Oxalobacteraceae;g__Janthinobacterium","Scrubland","OTU"
"60","p__Proteobacteria;f__Sphingomonadaceae;g__Sphingomonas","W",9.353703496816,0.636988162067314,4,0.318494081033657,10.1999776561278,"Sphingomonadaceae;g__Sphingomonas","Scrubland","OTU"
