"","Kingdom_Phylum","Site","mean","sd","n","se","max","Phylum","Sitefullnames","otuvesv"
"4","k__Bacteria;p__;f__other families","S",15.3622087132726,0,3.90909090909091,0,NA,";f__other families","Subalpine","ESV"
"9","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","S",42.7350195397308,2.75284442035372,4,1.37642221017686,46.699956578376,"Acidobacteria;f__Acidobacteriaceae","Subalpine","ESV"
"14","k__Bacteria;p__Actinobacteria;f__Geodermatophilaceae","S",0.0144738746562455,0.00626737157175017,3,0.00361846866406137,0.0217108119843682,"Actinobacteria;f__Geodermatophilaceae","Subalpine","ESV"
"19","k__Bacteria;p__Actinobacteria;f__Microbacteriaceae","S",2.09780720798958,0.253867233186878,4,0.126933616593439,2.45332175423361,"Actinobacteria;f__Microbacteriaceae","Subalpine","ESV"
"24","k__Bacteria;p__Bacteroidetes;f__Chitinophagaceae","S",0.784303082935302,0.21699501323541,4,0.108497506617705,1.03126356925749,"Bacteroidetes;f__Chitinophagaceae","Subalpine","ESV"
"29","k__Bacteria;p__Bacteroidetes;f__Cytophagaceae","S",0.390794615718628,0.0730894842839925,4,0.0365447421419962,0.477637863656101,"Bacteroidetes;f__Cytophagaceae","Subalpine","ESV"
"34","k__Bacteria;p__Bacteroidetes;f__Sphingobacteriaceae","S",3.56057316543639,0.942651021256882,4,0.471325510628441,4.38558402084238,"Bacteroidetes;f__Sphingobacteriaceae","Subalpine","ESV"
"39","k__Bacteria;p__Proteobacteria;f__Acetobacteraceae","S",21.3797221016066,1.66161010884072,4,0.83080505442036,22.8940512375163,"Proteobacteria;f__Acetobacteraceae","Subalpine","ESV"
"44","k__Bacteria;p__Proteobacteria;f__Caulobacteraceae","S",7.11843247937473,1.49863260220016,4,0.749316301100082,9.19452887537994,"Proteobacteria;f__Caulobacteraceae","Subalpine","ESV"
"49","k__Bacteria;p__Proteobacteria;f__Methylobacteriaceae","S",0.233391228831958,0.0325662179765523,4,0.0162831089882762,0.260529743812419,"Proteobacteria;f__Methylobacteriaceae","Subalpine","ESV"
"54","k__Bacteria;p__Proteobacteria;f__Oxalobacteraceae","S",0.602475032566218,0.158677174332615,4,0.0793385871663074,0.749023013460703,"Proteobacteria;f__Oxalobacteraceae","Subalpine","ESV"
"59","k__Bacteria;p__Proteobacteria;f__Sphingomonadaceae","S",5.72079895788102,0.674725558274658,4,0.337362779137329,6.67607468519323,"Proteobacteria;f__Sphingomonadaceae","Subalpine","ESV"
"5","k__Bacteria;p__;f__other families","W",20.3158923143726,0,4,0,NA,";f__other families","Scrubland","ESV"
"10","k__Bacteria;p__Acidobacteria;f__Acidobacteriaceae","W",6.70321320017369,2.32155997725939,4,1.1607799886297,9.43334780720799,"Acidobacteria;f__Acidobacteriaceae","Scrubland","ESV"
