Sample,berger_parker,buzas_gibson,chao1,dominance,equitability,jost,jost1,reads,richness,robbins,simpson,shannon_e,shannon_2,shannon_10
1C01,0.552,0.000562,66.7,0.664,0.421,3.7,5.62,9998,60,0.361,0.336,1.73,2.49,0.749
1C02,0.489,0.000772,58.7,0.735,0.517,4.94,7.72,9998,52,0.208,0.265,2.04,2.95,0.887
1C03,0.364,0.000504,80.5,0.718,0.37,3.9,5.04,10000,79,0.325,0.282,1.62,2.33,0.703
1C04,0.443,0.000559,63.2,0.706,0.442,4,5.59,9998,49,0.32,0.294,1.72,2.48,0.747
1D01,0.369,0.000676,99.6,0.742,0.424,4.6,6.75,9992,90,0.385,0.258,1.91,2.75,0.829
1D02,0.571,0.000666,113.3,0.65,0.405,3.7,6.65,9982,107,0.296,0.35,1.89,2.73,0.823
1D04,0.458,0.000619,76,0.731,0.422,4.41,6.19,9990,75,0.224,0.269,1.82,2.63,0.791
1G01,0.399,0.000867,67.3,0.791,0.515,5.96,8.67,9993,66,0.239,0.209,2.16,3.12,0.938
1G02,0.319,0.000752,65.6,0.786,0.483,5.47,7.52,9996,65,0.197,0.214,2.02,2.91,0.876
1G03,0.704,0.000312,63,0.476,0.285,2.21,3.12,9992,54,0.309,0.524,1.14,1.64,0.494
1G04,0.537,0.000486,53.5,0.661,0.4,3.5,4.86,10000,52,0.226,0.339,1.58,2.28,0.687
1P01,0.641,0.000282,6,0.529,0.579,2.36,2.82,10000,6,0,0.471,1.04,1.5,0.45
1P02,0.317,0.000916,99,0.816,0.484,6.4,9.15,9987,97,0.286,0.184,2.21,3.19,0.961
1P03,0.3,0.000702,61.9,0.799,0.478,5.55,7.01,9995,59,0.283,0.201,1.95,2.81,0.846
1P04,0.465,0.000497,70.3,0.692,0.387,3.73,4.98,10008,63,0.359,0.308,1.6,2.31,0.697
1S01,0.331,0.000808,93.1,0.808,0.464,6.01,8.07,9987,90,0.33,0.192,2.09,3.01,0.907
1S02,0.33,0.0009,90,0.809,0.498,6.29,8.99,9984,82,0.337,0.191,2.2,3.17,0.954
1S03,0.392,0.00104,94.7,0.807,0.517,6.65,10.4,9994,92,0.226,0.193,2.34,3.37,1.02
1S04,0.252,0.000857,78.8,0.836,0.498,6.79,8.57,9996,75,0.289,0.164,2.15,3.1,0.933
1W01,0.341,0.00104,98.8,0.833,0.513,7.31,10.4,9993,96,0.268,0.167,2.34,3.38,1.02
1W02,0.269,0.00103,105.2,0.848,0.517,7.65,10.3,9989,91,0.348,0.152,2.33,3.37,1.01
1W03,0.481,0.000586,90,0.701,0.401,4,5.86,9995,82,0.386,0.299,1.77,2.55,0.768
1W04,0.155,0.00149,130.5,0.896,0.557,11,14.9,9995,128,0.31,0.104,2.7,3.9,1.17
2C01,0.454,0.000689,49,0.742,0.499,4.78,6.89,9993,48,0.204,0.258,1.93,2.78,0.838
2C02,0.251,0.00102,110.2,0.843,0.502,7.36,10.2,10006,103,0.365,0.157,2.33,3.36,1.01
2C03,0.333,0.000879,60.1,0.824,0.545,6.67,8.79,9999,54,0.255,0.176,2.17,3.14,0.944
2C04,0.17,0.00158,82.2,0.9,0.628,11.9,15.8,9987,81,0.207,0.0997,2.76,3.98,1.2
